table_id,year,row_code,row_type,column_code,column_type,value
259,2024,211,Commodity,T019,Industry,660959.0
259,2024,212,Commodity,111CA,Industry,1984.0
259,2024,212,Commodity,113FF,Industry,0.0
259,2024,212,Commodity,211,Industry,90.0
259,2024,212,Commodity,212,Industry,11728.0
259,2024,212,Commodity,213,Industry,154.0
259,2024,212,Commodity,22,Industry,7755.0
259,2024,212,Commodity,23,Industry,34975.0
259,2024,212,Commodity,311FT,Industry,1530.0
259,2024,212,Commodity,313TT,Industry,33.0
259,2024,212,Commodity,315AL,Industry,0.0
259,2024,212,Commodity,321,Industry,11.0
259,2024,212,Commodity,322,Industry,1586.0
259,2024,212,Commodity,324,Industry,2818.0
259,2024,212,Commodity,325,Industry,6299.0
259,2024,212,Commodity,326,Industry,140.0
259,2024,212,Commodity,327,Industry,17329.0
259,2024,212,Commodity,331,Industry,16593.0
259,2024,212,Commodity,332,Industry,582.0
259,2024,212,Commodity,333,Industry,104.0
259,2024,212,Commodity,334,Industry,5.0
259,2024,212,Commodity,335,Industry,93.0
259,2024,212,Commodity,3361MV,Industry,92.0
259,2024,212,Commodity,3364OT,Industry,109.0
259,2024,212,Commodity,337,Industry,17.0
259,2024,212,Commodity,339,Industry,155.0
259,2024,212,Commodity,42,Industry,27.0
259,2024,212,Commodity,441,Industry,0.0
259,2024,212,Commodity,482,Industry,127.0
259,2024,212,Commodity,483,Industry,0.0
259,2024,212,Commodity,484,Industry,8.0
259,2024,212,Commodity,485,Industry,0.0
259,2024,212,Commodity,487OS,Industry,1.0
259,2024,212,Commodity,493,Industry,2.0
259,2024,212,Commodity,4A0,Industry,3.0
259,2024,212,Commodity,511,Industry,21.0
259,2024,212,Commodity,512,Industry,18.0
259,2024,212,Commodity,513,Industry,203.0
259,2024,212,Commodity,514,Industry,1833.0
259,2024,212,Commodity,521CI,Industry,0.0
259,2024,212,Commodity,523,Industry,0.0
259,2024,212,Commodity,524,Industry,0.0
259,2024,212,Commodity,532RL,Industry,0.0
259,2024,212,Commodity,5411,Industry,0.0
259,2024,212,Commodity,5412OP,Industry,1800.0
259,2024,212,Commodity,5415,Industry,0.0
259,2024,212,Commodity,55,Industry,41.0
259,2024,212,Commodity,561,Industry,1311.0
259,2024,212,Commodity,562,Industry,78.0
259,2024,212,Commodity,61,Industry,831.0
259,2024,212,Commodity,622,Industry,33.0
259,2024,212,Commodity,623,Industry,51.0
259,2024,212,Commodity,624,Industry,293.0
259,2024,212,Commodity,711AS,Industry,539.0
259,2024,212,Commodity,713,Industry,1075.0
259,2024,212,Commodity,721,Industry,180.0
259,2024,212,Commodity,722,Industry,1225.0
259,2024,212,Commodity,81,Industry,1703.0
259,2024,212,Commodity,F010,Industry,388.0
259,2024,212,Commodity,F02E,Industry,379.0
259,2024,212,Commodity,F030,Industry,-340.0
259,2024,212,Commodity,F040,Industry,29088.0
259,2024,212,Commodity,GFGN,Industry,4660.0
259,2024,212,Commodity,GSLE,Industry,8432.0
259,2024,212,Commodity,GSLG,Industry,3221.0
259,2024,212,Commodity,HS,Industry,8.0
259,2024,212,Commodity,ORE,Industry,0.0
259,2024,212,Commodity,T001,Industry,131907.0
259,2024,212,Commodity,T019,Industry,161422.0
259,2024,213,Commodity,211,Industry,24547.0
259,2024,213,Commodity,212,Industry,2335.0
259,2024,213,Commodity,213,Industry,2454.0
259,2024,213,Commodity,487OS,Industry,0.0
259,2024,213,Commodity,5412OP,Industry,31.0
259,2024,213,Commodity,55,Industry,4.0
259,2024,213,Commodity,F02E,Industry,3314.0
259,2024,213,Commodity,F02S,Industry,96938.0
259,2024,213,Commodity,F030,Industry,-15.0
259,2024,213,Commodity,F040,Industry,2129.0
259,2024,213,Commodity,T001,Industry,29371.0
259,2024,213,Commodity,T019,Industry,131737.0
259,2024,22,Commodity,111CA,Industry,12109.0
259,2024,22,Commodity,113FF,Industry,61.0
259,2024,22,Commodity,211,Industry,8400.0
259,2024,22,Commodity,212,Industry,3724.0
259,2024,22,Commodity,213,Industry,357.0
259,2024,22,Commodity,22,Industry,33647.0
259,2024,22,Commodity,23,Industry,14763.0
259,2024,22,Commodity,311FT,Industry,11575.0
259,2024,22,Commodity,313TT,Industry,737.0
259,2024,22,Commodity,315AL,Industry,229.0
259,2024,22,Commodity,321,Industry,2150.0
259,2024,22,Commodity,322,Industry,6628.0
259,2024,22,Commodity,323,Industry,1210.0
259,2024,22,Commodity,324,Industry,2494.0
259,2024,22,Commodity,325,Industry,14190.0
259,2024,22,Commodity,326,Industry,5389.0
259,2024,22,Commodity,327,Industry,5399.0
259,2024,22,Commodity,331,Industry,6601.0
259,2024,22,Commodity,332,Industry,5448.0
259,2024,22,Commodity,333,Industry,2341.0
259,2024,22,Commodity,334,Industry,1278.0
259,2024,22,Commodity,335,Industry,1515.0
259,2024,22,Commodity,3361MV,Industry,3374.0
259,2024,22,Commodity,3364OT,Industry,2973.0
259,2024,22,Commodity,337,Industry,714.0
259,2024,22,Commodity,339,Industry,784.0
259,2024,22,Commodity,42,Industry,15680.0
259,2024,22,Commodity,441,Industry,6294.0
259,2024,22,Commodity,445,Industry,8884.0
259,2024,22,Commodity,452,Industry,5778.0
259,2024,22,Commodity,481,Industry,2596.0
259,2024,22,Commodity,482,Industry,80.0
259,2024,22,Commodity,483,Industry,199.0
259,2024,22,Commodity,484,Industry,6664.0
259,2024,22,Commodity,485,Industry,842.0
259,2024,22,Commodity,486,Industry,2310.0
259,2024,22,Commodity,487OS,Industry,1412.0
259,2024,22,Commodity,493,Industry,3100.0
259,2024,22,Commodity,4A0,Industry,17209.0
259,2024,22,Commodity,511,Industry,1234.0
259,2024,22,Commodity,512,Industry,636.0
259,2024,22,Commodity,513,Industry,9490.0
259,2024,22,Commodity,514,Industry,7643.0
259,2024,22,Commodity,521CI,Industry,5129.0
259,2024,22,Commodity,523,Industry,2209.0
259,2024,22,Commodity,524,Industry,823.0
259,2024,22,Commodity,525,Industry,3179.0
259,2024,22,Commodity,532RL,Industry,2430.0
259,2024,22,Commodity,5411,Industry,776.0
259,2024,22,Commodity,5412OP,Industry,7734.0
259,2024,22,Commodity,5415,Industry,1346.0
259,2024,22,Commodity,55,Industry,5089.0
259,2024,22,Commodity,561,Industry,4848.0
259,2024,22,Commodity,562,Industry,2493.0
259,2024,22,Commodity,61,Industry,7941.0
259,2024,22,Commodity,621,Industry,6756.0
259,2024,22,Commodity,622,Industry,10533.0
259,2024,22,Commodity,623,Industry,4786.0
259,2024,22,Commodity,624,Industry,2016.0
259,2024,22,Commodity,711AS,Industry,1871.0
259,2024,22,Commodity,713,Industry,4866.0
259,2024,22,Commodity,721,Industry,6427.0
259,2024,22,Commodity,722,Industry,28689.0
259,2024,22,Commodity,81,Industry,10635.0
259,2024,22,Commodity,F010,Industry,370340.0
259,2024,22,Commodity,F040,Industry,5053.0
259,2024,22,Commodity,GFE,Industry,2926.0
