sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse_ratio,mae_ratio,rmse_gain_percent
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.5988834275518293,0.6781470453187464,40.11165724481707
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.6073820081944331,0.7491710294316402,39.261799180556686
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.6745829899096061,0.8584344875775549,32.54170100903939
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,1.0119621703007653,1.1023100619363186,-1.1962170300765296
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,1.1515140705897016,1.2329646639176306,-15.151407058970157
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,1,61,0.6721020685431225,0.7148113577825698,32.78979314568775
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,2,60,0.8347642825752452,0.7590646192572424,16.523571742475486
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,4,58,0.9792048838203065,0.9090109964537841,2.079511617969354
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,8,54,0.8171305983247387,0.7931466628276004,18.286940167526133
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,12,50,0.9899489160872168,0.9795852041092232,1.0051083912783199
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,1,61,1.0338311825666318,0.9857690713558029,-3.3831182566631757
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,2,60,0.8832299858811989,0.8285729864597677,11.677001411880106
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,4,58,0.825112274985465,0.7919357902509084,17.488772501453496
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,8,54,0.9683132304748093,0.8545589876708592,3.1686769525190672
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,12,50,0.8887051919799389,0.8377741561690677,11.129480802006109
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,1,61,0.6605170020588047,0.7752172375015729,33.94829979411953
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,2,60,0.7945592243822066,0.7739995304901565,20.54407756177934
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,4,58,0.9534459758793445,0.8711827671377738,4.655402412065546
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,8,54,0.8339247948750227,0.7844432592939611,16.607520512497732
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,nominal_gdp,12,50,0.9755690925825368,0.9224771595505256,2.4430907417463232
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,1,61,1.0076598551086537,3.127683144019158,-0.7659855108653746
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,2,60,0.6381789265078429,1.9617917764571309,36.182107349215705
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,4,58,0.5027830046304372,1.2903522885107328,49.72169953695628
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,8,54,0.9306314364188238,1.2359758970275063,6.936856358117616
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,unemployment_rate,12,50,0.5440764740095921,0.8923014061525673,45.59235259904079
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,2.9941562789861433,4.708044728335409,-199.41562789861433
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,1.6119082346904057,2.611094329959407,-61.190823469040566
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.985587233664076,1.5076994402515556,1.4412766335924032
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,0.8761066896545281,1.0448150170449977,12.38933103454719
