sample_track,model_id,target_id,horizon,observation_count,mean_crps
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,2,52,0.6498873281038569
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,real_gdp,4,50,1.073098662861956
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,8,46,1.6768034954120958
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,1,53,2.3205118201779245
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,2,52,1.1407804650452364
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,1,53,0.17165601919350076
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,4,50,0.752790137926055
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,real_gdp,1,53,1.0318579749251515
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,8,46,0.8205268395174146
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,12,42,0.8707890591989257
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,4,50,2.0108514429980704
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,2,52,2.197081071157672
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,1,53,1.1304676695899027
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,4,50,0.6283267043774012
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,1,53,0.6425119642718451
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,12,42,1.3420962735608308
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,real_gdp,8,46,1.094210554847199
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,real_gdp,12,42,1.0581206298244548
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,12,42,1.378824440687562
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,4,50,1.2266977747690198
abm_pandemic_masked_common_cells,beforeit_abm_us_v3_mean,real_gdp,2,52,1.0562522586715566
abm_all_available_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,2,60,0.3488296456707135
abm_all_available_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,8,54,1.1774489772454895
abm_all_available_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,8,54,2.96876253968771
abm_all_available_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,12,50,1.4483860831297468
abm_all_available_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,2,60,0.8679554856346066
abm_all_available_common_cells,beforeit_abm_us_v2_mean,real_gdp,4,58,2.2487319447357015
abm_all_available_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,8,54,3.920132465214331
abm_all_available_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,1,61,1.9383007643090724
abm_all_available_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,2,60,2.52753588001412
abm_all_available_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,1,61,0.1769122696665325
abm_all_available_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,4,58,0.9966400486068068
abm_all_available_common_cells,beforeit_abm_us_v2_mean,real_gdp,1,61,2.159020993163997
abm_all_available_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,8,54,1.0724241351771615
abm_all_available_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,12,50,1.1209176773456915
abm_all_available_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,4,58,2.5487256700783876
abm_all_available_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,2,60,2.0496274516246387
abm_all_available_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,1,61,2.464162863082423
abm_all_available_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,4,58,0.6714914223831134
abm_all_available_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,1,61,0.8072369948556898
abm_all_available_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,12,50,3.1133416007623396
abm_all_available_common_cells,beforeit_abm_us_v2_mean,real_gdp,8,54,2.3674618300118726
abm_all_available_common_cells,beforeit_abm_us_v2_mean,real_gdp,12,50,2.4257219171255064
abm_all_available_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,12,50,4.574856451259526
abm_all_available_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,4,58,2.683341891353316
abm_all_available_common_cells,beforeit_abm_us_v2_mean,real_gdp,2,60,2.204381746156217
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,2,50,0.3375006286699576
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,8,50,1.235588424148895
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,8,50,3.072760062381464
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,12,50,1.4483860831297468
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,2,50,0.9440539279578164
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,real_gdp,4,50,2.3917069570991543
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,8,50,4.034653130339492
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,1,50,2.2961008645490812
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,2,50,2.7543269273950615
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,1,50,0.16528670770700635
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,4,50,1.0675870888501267
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,real_gdp,1,50,2.333751656277221
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,8,50,1.1114348665270883
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,12,50,1.1209176773456915
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,4,50,2.7777618079590685
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,2,50,2.35704044979916
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,1,50,2.694321547055036
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,4,50,0.6783828111815899
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,1,50,0.845346248028116
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,12,50,3.1133416007623396
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,real_gdp,8,50,2.430397790013678
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,real_gdp,12,50,2.4257219171255064
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,12,50,4.574856451259526
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,4,50,2.888256026511771
abm_balanced_h12_common_cells,beforeit_abm_us_v2_mean,real_gdp,2,50,2.3675814568352473
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,2,52,0.3315634434566944
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,8,46,1.1398489568447487
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,8,46,1.3451313338756292
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,12,42,1.5352053194553597
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,2,52,0.6558250011392014
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,real_gdp,4,50,1.0572630979240116
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,8,46,3.6245658126576723
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,1,53,1.7800219195822442
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,2,52,1.1495562952296838
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,1,53,0.17117261313511858
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,4,50,0.7518349716585804
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,real_gdp,1,53,1.042828807413635
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,8,46,0.8282436567107474
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,12,42,0.8713010716220282
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,4,50,2.3533102752828987
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,2,52,1.8760845507905268
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,1,53,1.143608486161008
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,effective_federal_funds_rate,4,50,0.6291095791611403
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,gdp_deflator,1,53,0.6389311039998565
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,12,42,1.3687597393677644
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,real_gdp,8,46,1.092079072475215
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,real_gdp,12,42,1.0472158118449943
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,unemployment_rate,12,42,4.210525452459119
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,nominal_gdp,4,50,1.1924679870947068
abm_pandemic_masked_common_cells,beforeit_abm_us_v2_mean,real_gdp,2,52,1.0673879806977422
abm_all_available_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,2,60,0.34900175760319513
abm_all_available_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,8,54,1.175755884550422
abm_all_available_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,8,54,3.489894557600778
abm_all_available_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,12,50,1.4519497443886455
abm_all_available_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,2,60,0.8679461331193213
abm_all_available_common_cells,beforeit_abm_us_v1_mean,real_gdp,4,58,3.181136152137066
abm_all_available_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,8,54,1.1572806485200045
abm_all_available_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,1,61,1.866810059911757
abm_all_available_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,2,60,7.021493456703377
abm_all_available_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,1,61,0.1769122696665325
abm_all_available_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,4,58,0.9937443952154635
abm_all_available_common_cells,beforeit_abm_us_v1_mean,real_gdp,1,61,2.39870185267049
abm_all_available_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,8,54,1.065877553210586
abm_all_available_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,12,50,1.124588258671661
abm_all_available_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,4,58,1.2188276139038996
abm_all_available_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,2,60,1.2902138797614597
abm_all_available_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,1,61,2.6917905390598693
abm_all_available_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,4,58,0.6720802565787155
abm_all_available_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,1,61,0.8072369948556902
abm_all_available_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,12,50,3.6473251503176893
abm_all_available_common_cells,beforeit_abm_us_v1_mean,real_gdp,8,54,2.8697471855897105
abm_all_available_common_cells,beforeit_abm_us_v1_mean,real_gdp,12,50,2.9134125847432277
abm_all_available_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,12,50,1.0142890675429086
abm_all_available_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,4,58,3.6305925656130063
abm_all_available_common_cells,beforeit_abm_us_v1_mean,real_gdp,2,60,6.7342215593609955
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,2,50,0.33765966414085996
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,8,50,1.234342392348486
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,8,50,3.6098350255805776
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,12,50,1.4519497443886455
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,2,50,0.9443136234360217
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,real_gdp,4,50,3.3577648930909345
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,8,50,1.193323596933174
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,unemployment_rate,1,50,2.2189722234391893
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,nominal_gdp,2,50,7.337597543715037
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,effective_federal_funds_rate,1,50,0.16528670770700635
abm_balanced_h12_common_cells,beforeit_abm_us_v1_mean,gdp_deflator,4,50,1.0652256782048846
