sample_track,target_set,model_id,benchmark_model_id,status,cell_count,expected_cell_count,weighted_rmse_ratio,weighted_mae_ratio
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v2_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.7155607985735565,0.7174343009155587
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v2_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.7162389304948401,0.715182721603727
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v1_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.7824063794006071,0.9705265908570169
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v1_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.7810367082255644,0.9620237255066639
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,dsge_small_nk,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.769052161793269,1.0337708154734337
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,dsge_small_nk_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.7634918375807352,1.0181378403983616
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,dsge_sw07,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.911028266056984,1.1192307232619843
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,dsge_sw07_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.8906587552318836,1.0832637793287183
abm_all_available_common_cells,labour_unemployment_rate,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.6534842549596968,0.8468379284774431
abm_all_available_common_cells,labour_unemployment_rate,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.6975200536320711,0.9572907693397414
abm_all_available_common_cells,labour_unemployment_rate,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.756401651949427,1.9614498701915595
abm_all_available_common_cells,labour_unemployment_rate,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.6528239434220015,1.0107295361238138
abm_all_available_common_cells,labour_unemployment_rate,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,1.3437715126813248,1.4412346174913577
