sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse,mae,rmse_ratio,mae_ratio
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,unemployment_rate,1,61,1.3550220416890622,0.4616647323967297,0.6443506401713132,0.7813458916056789
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,unemployment_rate,2,60,1.7264695075062717,0.7856206372892867,0.5218726424260807,0.8351737134575559
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,unemployment_rate,4,58,2.115070356226006,1.2889137564458586,0.5075071749717843,0.9039424631706173
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,unemployment_rate,8,54,2.8015672861620833,2.0653090562884864,1.249700905550283,1.3955182657223888
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,unemployment_rate,12,50,3.3053002721284743,2.571024827111893,0.8479013014725774,1.2397734100116706
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.3975360601581026,0.2529880665369654,0.5988834275518293,0.6781470453187464
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.7562502901394167,0.5079396803825554,0.6073820081944331,0.7491710294316402
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,1.3979730440564302,1.0216856349178807,0.6745829899096061,0.8584344875775549
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,2.4077990959499807,1.9188468204912439,1.0119621703007653,1.1023100619363186
abm_all_available_common_cells,naive_drift,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,3.0957484916146436,2.5828698864814674,1.1515140705897016,1.2329646639176306
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,1,61,6.108437207343514,2.6046229042079028,0.6721020685431225,0.7148113577825698
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,2,60,6.135521040243206,2.6294126171963152,0.8347642825752452,0.7590646192572424
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,4,58,6.2202892759537995,2.6652352151399428,0.9792048838203065,0.9090109964537841
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,8,54,6.420281352641419,2.724921049900153,0.8171305983247387,0.7931466628276004
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,real_gdp,12,50,6.6623838739345,2.8738101830615994,0.9899489160872168,0.9795852041092232
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,1,61,1.860778477848113,1.1705814108266417,1.0338311825666318,0.9857690713558029
abm_all_available_common_cells,naive_historical_mean,beforeit_var_p1_constant,gdp_deflator,2,60,1.8878427512147233,1.1790333623709814,0.8832299858811989,0.8285729864597677
