variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
headline_v3,86,2021Q4,2021Q4,2021-12-31,0,12,100,12,500,500,0,0.0033140182495117188,33.39540696144104
headline_v3,87,2022Q1,2022Q1,2022-03-31,0,12,101,12,500,500,0,0.0020859241485595703,33.47966814041138
headline_v3,88,2022Q2,2022Q2,2022-06-30,0,12,102,12,500,500,0,0.0030329227447509766,33.05714797973633
headline_v3,89,2022Q3,2022Q3,2022-09-30,0,12,103,12,500,500,0,0.0016598701477050781,33.349080085754395
headline_v3,90,2022Q4,2022Q4,2022-12-31,0,12,104,12,500,500,0,0.0017418861389160156,33.629584074020386
headline_v3,91,2023Q1,2023Q1,2023-03-31,0,12,105,12,500,500,0,0.002593994140625,33.897477865219116
headline_v3,92,2023Q2,2023Q2,2023-06-30,0,12,106,12,500,500,0,0.0034589767456054688,34.52368688583374
headline_v3,93,2023Q3,2023Q3,2023-09-30,0,12,107,11,500,500,0,0.0017859935760498047,33.59293723106384
headline_v3,94,2023Q4,2023Q4,2023-12-31,0,12,108,10,500,500,0,0.0017080307006835938,33.48428201675415
headline_v3,95,2024Q1,2024Q1,2024-03-31,0,12,109,9,500,500,0,0.0022950172424316406,33.05869793891907
headline_v3,96,2024Q2,2024Q2,2024-06-30,0,12,110,8,500,500,0,0.0017130374908447266,33.42466402053833
headline_v3,97,2024Q3,2024Q3,2024-09-30,0,12,111,7,500,500,0,0.0016870498657226562,33.07351613044739
headline_v3,98,2024Q4,2024Q4,2024-12-31,0,12,112,6,500,500,0,0.0044040679931640625,33.50968408584595
headline_v3,99,2025Q1,2025Q1,2025-03-31,0,12,113,5,500,500,0,0.0020627975463867188,33.079225063323975
headline_v3,100,2025Q2,2025Q2,2025-06-30,0,12,114,4,500,500,0,0.0008509159088134766,33.26539897918701
