model_id,origin_index,origin_period,target_period,target_id,horizon,point_forecast,actual,error,absolute_error,squared_error,mase_scale,scaled_absolute_error
naive_no_change,40,2010Q2,2010Q3,real_gdp,1,3.851739929044,3.072509082001,0.7792308470430003,0.7792308470430003,0.6072007129833517,2.3058043705556153,0.3379431737546902
naive_no_change,40,2010Q2,2010Q3,gdp_deflator,1,1.949507239798,1.214191787935,0.7353154518630001,0.7353154518630001,0.540688813748488,0.6273130483301025,1.172166677897739
naive_no_change,40,2010Q2,2010Q3,unemployment_rate,1,9.633333333333,9.466666666667,0.16666666666599994,0.16666666666599994,0.027777777777555537,0.25726495726494863,0.647840531558892
naive_no_change,40,2010Q2,2010Q3,effective_federal_funds_rate,1,0.191875,0.1884375,0.0034374999999999822,0.0034374999999999822,1.1816406249999878e-5,0.38536719357192306,0.008920063921731895
naive_no_change,40,2010Q2,2010Q3,nominal_gdp,1,5.798304328251,4.287009277517,1.5112950507339997,1.5112950507339997,2.2840127303730826,2.263785620308205,0.6675963647689586
naive_no_change,40,2010Q2,2010Q4,real_gdp,2,3.851739929044,2.094945457781,1.7567944712630004,1.7567944712630004,3.086326814260245,2.3058043705556153,0.7619009199985498
naive_no_change,40,2010Q2,2010Q4,gdp_deflator,2,1.949507239798,2.31547197538,-0.36596473558199993,0.36596473558199993,0.13393018768960313,0.6273130483301025,0.583384542304982
naive_no_change,40,2010Q2,2010Q4,unemployment_rate,2,9.633333333333,9.5,0.13333333333300068,0.13333333333300068,0.01777777777768907,0.25726495726494863,0.5182724252478937
naive_no_change,40,2010Q2,2010Q4,effective_federal_funds_rate,2,0.191875,0.189365079365,0.002509920634999996,0.002509920634999996,6.2997015939987825e-6,0.38536719357192306,0.006513062546232433
naive_no_change,40,2010Q2,2010Q4,nominal_gdp,2,5.798304328251,4.410186961896,1.388117366355,1.388117366355,1.9268698227763412,2.263785620308205,0.6131841080278677
naive_no_change,40,2010Q2,2011Q2,real_gdp,4,3.851739929044,2.697214987467,1.1545249415770003,1.1545249415770003,1.3329278407233758,2.3058043705556153,0.5007037701549684
naive_no_change,40,2010Q2,2011Q2,gdp_deflator,4,1.949507239798,2.636618866799,-0.687111627001,0.687111627001,0.4721223879599614,0.6273130483301025,1.0953249399643135
naive_no_change,40,2010Q2,2011Q2,unemployment_rate,4,9.633333333333,9.066666666667,0.5666666666660003,0.5666666666660003,0.3211111111103559,0.25726495726494863,2.202657807306454
naive_no_change,40,2010Q2,2011Q2,effective_federal_funds_rate,4,0.191875,0.09328125,0.09859375,0.09859375,0.009720727539062498,0.38536719357192306,0.25584365157331157
naive_no_change,40,2010Q2,2011Q2,nominal_gdp,4,5.798304328251,5.334216982336,0.4640873459149999,0.4640873459149999,0.21537706463842876,2.263785620308205,0.20500498887868027
naive_no_change,40,2010Q2,2012Q2,real_gdp,8,3.851739929044,1.781366506529,2.070373422515,2.070373422515,4.286446108656475,2.3058043705556153,0.897896390931081
naive_no_change,40,2010Q2,2012Q2,gdp_deflator,8,1.949507239798,1.648045818981,0.3014614208169999,0.3014614208169999,0.0908789882410043,0.6273130483301025,0.4805597805106804
naive_no_change,40,2010Q2,2012Q2,unemployment_rate,8,9.633333333333,8.2,1.4333333333330014,1.4333333333330014,2.054444444443493,0.25726495726494863,5.571428571427468
naive_no_change,40,2010Q2,2012Q2,effective_federal_funds_rate,8,0.191875,0.15453125,0.03734374999999998,0.03734374999999998,0.0013945556640624986,0.38536719357192306,0.09690433078608786
