table_id,year,row_code,row_type,column_code,column_type,value
59,2024,,Commodity,111CA,Commodity,2.2643741
59,2024,,Commodity,113FF,Commodity,1.4523647
59,2024,,Commodity,211,Commodity,1.8429612
59,2024,,Commodity,212,Commodity,1.9806554
59,2024,,Commodity,213,Commodity,1.6230144
59,2024,,Commodity,22,Commodity,1.7000245
59,2024,,Commodity,23,Commodity,1.9036424
59,2024,,Commodity,311FT,Commodity,2.5544278
59,2024,,Commodity,313TT,Commodity,2.3026918
59,2024,,Commodity,315AL,Commodity,1.8628002
59,2024,,Commodity,321,Commodity,2.3046591
59,2024,,Commodity,322,Commodity,2.3757192
59,2024,,Commodity,323,Commodity,2.0172178
59,2024,,Commodity,324,Commodity,2.2722771
59,2024,,Commodity,325,Commodity,1.8988644
59,2024,,Commodity,326,Commodity,2.2883899
59,2024,,Commodity,327,Commodity,2.1176434
59,2024,,Commodity,331,Commodity,2.6414996
59,2024,,Commodity,332,Commodity,2.3290876
59,2024,,Commodity,333,Commodity,2.1525193
59,2024,,Commodity,334,Commodity,1.4628607
59,2024,,Commodity,335,Commodity,2.2935118
59,2024,,Commodity,3361MV,Commodity,2.7683887
59,2024,,Commodity,3364OT,Commodity,1.9944468
59,2024,,Commodity,337,Commodity,2.2724939
59,2024,,Commodity,339,Commodity,1.7766158
59,2024,,Commodity,42,Commodity,1.7513126
59,2024,,Commodity,441,Commodity,1.6800664
59,2024,,Commodity,445,Commodity,1.6327277
59,2024,,Commodity,452,Commodity,1.4893264
59,2024,,Commodity,481,Commodity,1.861384
59,2024,,Commodity,482,Commodity,1.7938135
59,2024,,Commodity,483,Commodity,2.283407
59,2024,,Commodity,484,Commodity,1.9739443
59,2024,,Commodity,485,Commodity,1.9996698
59,2024,,Commodity,486,Commodity,1.573605
59,2024,,Commodity,487OS,Commodity,1.7709959
59,2024,,Commodity,493,Commodity,1.5798867
59,2024,,Commodity,4A0,Commodity,1.6673156
59,2024,,Commodity,511,Commodity,1.5598691
59,2024,,Commodity,512,Commodity,1.7538548
59,2024,,Commodity,513,Commodity,1.8519545
59,2024,,Commodity,514,Commodity,1.6756102
59,2024,,Commodity,521CI,Commodity,1.5176315
59,2024,,Commodity,523,Commodity,1.9742957
59,2024,,Commodity,524,Commodity,1.9193316
59,2024,,Commodity,525,Commodity,2.5390949
59,2024,,Commodity,532RL,Commodity,1.7711952
59,2024,,Commodity,5411,Commodity,1.3515316
59,2024,,Commodity,5412OP,Commodity,1.6202309
59,2024,,Commodity,5415,Commodity,1.4455506
59,2024,,Commodity,55,Commodity,1.6596029
59,2024,,Commodity,561,Commodity,1.6907332
59,2024,,Commodity,562,Commodity,1.926412
59,2024,,Commodity,61,Commodity,1.6610444
59,2024,,Commodity,621,Commodity,1.6150949
59,2024,,Commodity,622,Commodity,1.813928
59,2024,,Commodity,623,Commodity,1.7433902
59,2024,,Commodity,624,Commodity,1.7195353
59,2024,,Commodity,711AS,Commodity,1.7894213
59,2024,,Commodity,713,Commodity,1.8755524
59,2024,,Commodity,721,Commodity,1.5785293
59,2024,,Commodity,722,Commodity,1.9024336
59,2024,,Commodity,81,Commodity,1.7298442
59,2024,,Commodity,GFE,Commodity,1.5926206
59,2024,,Commodity,GFGD,Commodity,1.7370114
59,2024,,Commodity,GFGN,Commodity,1.5453935
59,2024,,Commodity,GSLE,Commodity,2.2461319
59,2024,,Commodity,GSLG,Commodity,1.7282518
59,2024,,Commodity,HS,Commodity,1.1705018
59,2024,,Commodity,ORE,Commodity,2.082309
59,2024,,Commodity,Other,Commodity,1.5453935
59,2024,,Commodity,Used,Commodity,2.0557549
59,2024,111CA,Commodity,111CA,Commodity,1.3041073
59,2024,111CA,Commodity,113FF,Commodity,0.0345167
59,2024,111CA,Commodity,211,Commodity,0.0010628
59,2024,111CA,Commodity,212,Commodity,0.0015454
59,2024,111CA,Commodity,213,Commodity,0.0009511
59,2024,111CA,Commodity,22,Commodity,0.0009392
59,2024,111CA,Commodity,23,Commodity,0.0024134
59,2024,111CA,Commodity,311FT,Commodity,0.3703945
59,2024,111CA,Commodity,313TT,Commodity,0.0338329
59,2024,111CA,Commodity,315AL,Commodity,0.0201426
59,2024,111CA,Commodity,321,Commodity,0.0069636
59,2024,111CA,Commodity,322,Commodity,0.0046481
59,2024,111CA,Commodity,323,Commodity,0.0053609
59,2024,111CA,Commodity,324,Commodity,0.0019083
59,2024,111CA,Commodity,325,Commodity,0.025077
59,2024,111CA,Commodity,326,Commodity,0.0087064
59,2024,111CA,Commodity,327,Commodity,0.003979
59,2024,111CA,Commodity,331,Commodity,0.0021602
59,2024,111CA,Commodity,332,Commodity,0.0016301
59,2024,111CA,Commodity,333,Commodity,0.0012425
59,2024,111CA,Commodity,334,Commodity,0.0006057
59,2024,111CA,Commodity,335,Commodity,0.0016977
59,2024,111CA,Commodity,3361MV,Commodity,0.0021442
59,2024,111CA,Commodity,3364OT,Commodity,0.0007915
59,2024,111CA,Commodity,337,Commodity,0.0037156
59,2024,111CA,Commodity,339,Commodity,0.00315
59,2024,111CA,Commodity,42,Commodity,0.0013218
59,2024,111CA,Commodity,441,Commodity,0.0015874
59,2024,111CA,Commodity,445,Commodity,0.0018878
59,2024,111CA,Commodity,452,Commodity,0.001099
59,2024,111CA,Commodity,481,Commodity,0.0020768
59,2024,111CA,Commodity,482,Commodity,0.0008556
59,2024,111CA,Commodity,483,Commodity,0.002601
59,2024,111CA,Commodity,484,Commodity,0.0007605
59,2024,111CA,Commodity,485,Commodity,0.0008684
59,2024,111CA,Commodity,486,Commodity,0.0005712
59,2024,111CA,Commodity,487OS,Commodity,0.0010412
59,2024,111CA,Commodity,493,Commodity,0.0005627
59,2024,111CA,Commodity,4A0,Commodity,0.000898
59,2024,111CA,Commodity,511,Commodity,0.0005733
59,2024,111CA,Commodity,512,Commodity,0.0007841
59,2024,111CA,Commodity,513,Commodity,0.0007883
