origin_index,parameter,mode_value
40,sd_ea,0.45972306038120536
40,sd_eb,0.2328683862696302
40,sd_eg,0.5061261301683735
40,sd_eqs,0.3816835563761991
40,sd_em,0.23972628622181397
40,sd_epinf,0.11669177996869479
40,sd_ew,0.3180622964980308
40,crhoa,0.9622093404898271
40,crhob,0.2714380132679231
40,crhog,0.9756942333476983
40,crhoqs,0.7641658062658041
40,crhoms,0.2336757409486149
40,crhopinf,0.9294431538485521
40,crhow,0.9680540979793488
40,cmap,0.7741895783732052
40,cmaw,0.9234139117555958
40,csadjcost,4.674144379155854
40,csigma,1.376559788377282
40,chabb,0.6708074208823185
40,cprobw,0.7626160171497509
40,csigl,1.500380291182041
40,cprobp,0.7371844401664538
40,cindw,0.5565526444044411
40,cindp,0.21244228524104875
40,czcap,0.7163961385292061
40,cfc,1.5609871816813254
40,crpi,1.573102191086273
40,crr,0.7548145083228995
40,cry,0.04076838059971854
40,crdy,0.21014744383626505
40,constepinf,0.6955226029910003
40,constebeta,0.1199136701746356
40,constelab,0.8344396695149552
40,ctrend,0.4148879626545917
40,cgy,0.5104238428942741
40,calfa,0.19847328354162078
41,sd_ea,0.4564577614233908
41,sd_eb,0.1858680837566914
41,sd_eg,0.49836861265144783
41,sd_eqs,0.37254309265784186
41,sd_em,0.23687150263904727
41,sd_epinf,0.11278608714896067
41,sd_ew,0.3216046024930721
41,crhoa,0.9667746210079756
41,crhob,0.46905499213414104
41,crhog,0.9779253720170992
41,crhoqs,0.790520884492505
41,crhoms,0.21488779614957165
41,crhopinf,0.9123096816732313
41,crhow,0.9731649752011412
41,cmap,0.7501065833554121
41,cmaw,0.9348152440418149
41,csadjcost,4.497342356763347
41,csigma,1.4266779890229313
41,chabb,0.6065052529004954
41,cprobw,0.7691752417493605
41,csigl,1.5589027594847151
41,cprobp,0.7427605517157603
41,cindw,0.6141027367577482
41,cindp,0.25905846875305427
41,czcap,0.7369271383850222
41,cfc,1.5565162834598085
41,crpi,1.6864548085525324
41,crr,0.7766913012409166
41,cry,0.05261912674890591
41,crdy,0.22926778831396186
41,constepinf,0.704887171750861
41,constebeta,0.11244172015808032
41,constelab,1.039804021168088
41,ctrend,0.40708192213091454
41,cgy,0.5187373829892999
41,calfa,0.19823215244005346
42,sd_ea,0.45643625216762357
42,sd_eb,0.1846221111250674
42,sd_eg,0.4984645032734558
42,sd_eqs,0.372045456156771
42,sd_em,0.2363730960650613
42,sd_epinf,0.11483949242661116
42,sd_ew,0.32060997871373276
42,crhoa,0.9680429652683893
42,crhob,0.4740231361877526
42,crhog,0.9787691530211396
42,crhoqs,0.7944408134427681
42,crhoms,0.20562034623501038
42,crhopinf,0.9117023278440469
42,crhow,0.9737456836818278
42,cmap,0.758100255711934
42,cmaw,0.942022495785218
42,csadjcost,4.42779584639921
42,csigma,1.436016620231631
42,chabb,0.6066821659240019
42,cprobw,0.7907078235781265
42,csigl,1.7301347971733
42,cprobp,0.7472665533122091
42,cindw,0.6190637143426931
42,cindp,0.2614465001250593
42,czcap,0.743596284495199
42,cfc,1.559475571129357
42,crpi,1.7129542071008663
42,crr,0.7849474940558505
42,cry,0.05526718100299823
42,crdy,0.23003331936303262
42,constepinf,0.703133819180632
42,constebeta,0.11687477041112532
42,constelab,1.1073727452745459
42,ctrend,0.4038143946951894
42,cgy,0.5132706368119389
42,calfa,0.1989579462306167
43,sd_ea,0.45545902906156366
43,sd_eb,0.18107807808746695
43,sd_eg,0.49959703015203066
43,sd_eqs,0.36999109494801724
43,sd_em,0.235611723121869
43,sd_epinf,0.11449683832583722
43,sd_ew,0.32359780626747
43,crhoa,0.9687109305770067
43,crhob,0.4901470387824456
43,crhog,0.9793747076064532
43,crhoqs,0.7995801300027365
43,crhoms,0.20413479990446373
43,crhopinf,0.9110722058454236
43,crhow,0.9730140732361624
43,cmap,0.7570195208009767
43,cmaw,0.9421132174469432
43,csadjcost,4.476858533327274
43,csigma,1.4165219986149111
43,chabb,0.6092704313416215
43,cprobw,0.7912000895694242
43,csigl,1.7004667999279146
43,cprobp,0.7468380098426355
43,cindw,0.624156382411788
43,cindp,0.2593908109217053
43,czcap,0.7492819217332708
43,cfc,1.557485646001352
43,crpi,1.7218246572842757
43,crr,0.7863961956976849
43,cry,0.05624331073372061
43,crdy,0.2300491374615439
43,constepinf,0.7084405926913903
43,constebeta,0.11646979042458529
43,constelab,1.0106056864067963
43,ctrend,0.4030350908417527
43,cgy,0.5157898092011236
43,calfa,0.1984481037411016
44,sd_ea,0.453887308350497
44,sd_eb,0.18516497908024587
44,sd_eg,0.4989613190137261
44,sd_eqs,0.37647918677423714
44,sd_em,0.23574858441947816
44,sd_epinf,0.114030850775187
44,sd_ew,0.3332737143089775
44,crhoa,0.967677116479986
44,crhob,0.46809258567295603
44,crhog,0.979035835963649
44,crhoqs,0.7897626928664923
44,crhoms,0.20776938006416515
44,crhopinf,0.9147098495851099
44,crhow,0.9752450410697926
44,cmap,0.7610273771756912
44,cmaw,0.9469897956687562
44,csadjcost,4.534520832142421
44,csigma,1.4428088875108298
44,chabb,0.607658629613339
44,cprobw,0.7905213791650476
44,csigl,1.7181326463247832
44,cprobp,0.7473010235229053
44,cindw,0.6344306920177955
44,cindp,0.25528958393022194
44,czcap,0.7469958529783162
44,cfc,1.5609960349180407
44,crpi,1.7221347487726897
44,crr,0.7858281433578802
44,cry,0.057035156311618596
44,crdy,0.23066801914762214
44,constepinf,0.7038616146063639
44,constebeta,0.11267234352809632
44,constelab,1.1336625647071052
44,ctrend,0.4028398757247994
44,cgy,0.5128502000489754
44,calfa,0.1991250540948564
45,sd_ea,0.4539728037877506
45,sd_eb,0.19082126411152403
45,sd_eg,0.5026773857310057
45,sd_eqs,0.3763329031835221
45,sd_em,0.23479923601252234
45,sd_epinf,0.1126212439640312
45,sd_ew,0.33250621953941006
45,crhoa,0.9672544040176977
45,crhob,0.4393992362145615
45,crhog,0.9793963126154123
45,crhoqs,0.7886977433947191
45,crhoms,0.20928216262880947
45,crhopinf,0.9182377218271474
45,crhow,0.9749018691580952
45,cmap,0.763866347983604
45,cmaw,0.9483870799037439
45,csadjcost,4.647009547835236
45,csigma,1.463932719537333
45,chabb,0.6143915868859094
45,cprobw,0.7977238939346296
45,csigl,1.7802531814996927
45,cprobp,0.7467564324476229
45,cindw,0.6405253916004197
45,cindp,0.25549700466719355
45,czcap,0.7516362866356785
45,cfc,1.5594901142824114
45,crpi,1.7189852535668786
45,crr,0.786708652438281
45,cry,0.0566448744208578
45,crdy,0.23000602243725649
45,constepinf,0.705299235495862
45,constebeta,0.11019855916994732
45,constelab,1.1197426315266839
45,ctrend,0.4020566459128928
45,cgy,0.5090524881801491
45,calfa,0.19677576544606196
46,sd_ea,0.4522557158019819
46,sd_eb,0.19250037492758906
46,sd_eg,0.5023350715312851
46,sd_eqs,0.3761444258259869
46,sd_em,0.2338499578364022
46,sd_epinf,0.11393511734034645
46,sd_ew,0.3402352878413605
46,crhoa,0.9660793548372806
46,crhob,0.4315588008659403
46,crhog,0.978927205365946
46,crhoqs,0.785836773952461
46,crhoms,0.20760230045703668
46,crhopinf,0.9188789124751997
46,crhow,0.9748945628326728
46,cmap,0.7694708722633525
46,cmaw,0.948612430456441
46,csadjcost,4.716302288868345
46,csigma,1.4492166135498836
46,chabb,0.620735223283803
46,cprobw,0.8005122184896234
46,csigl,1.8273379192975818
46,cprobp,0.746775682309557
46,cindw,0.6224769334055709
46,cindp,0.2595094124392225
46,czcap,0.7527379759202896
46,cfc,1.561415126007673
46,crpi,1.711595582314698
46,crr,0.7883969970258469
46,cry,0.05613401201850242
46,crdy,0.23160890556354058
46,constepinf,0.6959232919765527
46,constebeta,0.11223431700114193
46,constelab,1.2371784970548845
46,ctrend,0.40160712599166015
46,cgy,0.5106847349924429
46,calfa,0.19803780169701413
47,sd_ea,0.4504710766842322
47,sd_eb,0.19339524250039944
47,sd_eg,0.5026005162154061
47,sd_eqs,0.3756247828173966
47,sd_em,0.23382733945211143
47,sd_epinf,0.113146102370848
47,sd_ew,0.3495258872915832
47,crhoa,0.9656482352042753
47,crhob,0.42597715970599154
47,crhog,0.9788183445424209
47,crhoqs,0.7893246287107655
47,crhoms,0.20852672865578098
47,crhopinf,0.9245300617962466
47,crhow,0.9751694043019177
47,cmap,0.7675257181091871
47,cmaw,0.9505023886031281
47,csadjcost,4.675296081972484
47,csigma,1.4663193782958848
47,chabb,0.6179375013727512
47,cprobw,0.7998734311638664
47,csigl,1.791107442717932
47,cprobp,0.7393111992480683
47,cindw,0.6145093089933817
47,cindp,0.23684933216716053
47,czcap,0.7623489578610823
47,cfc,1.5652695657109565
47,crpi,1.7213188542668618
47,crr,0.7881321525115628
47,cry,0.056723847242594015
47,crdy,0.23108009366560264
47,constepinf,0.707681810190233
47,constebeta,0.1098776229575983
47,constelab,1.1676256085507468
47,ctrend,0.4008694979910431
47,cgy,0.5116894981967557
47,calfa,0.19848793832979506
48,sd_ea,0.45001033338527957
