variant,origin_index,origin_period,target_period,target_id,horizon,paths_used,ensemble_mean,ensemble_median,ensemble_sd,monte_carlo_standard_error,percentile_05,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95
outlook_v2,102,2025Q4,2026Q1,effective_federal_funds_rate,1,500,3.862326951670861,3.861107506979755,0.12814683488120857,0.005730900677916471,3.6578600113423367,3.705307468688166,3.774860262998525,3.940899733290737,4.024246484990686,4.07722548336913
outlook_v2,102,2025Q4,2026Q2,effective_federal_funds_rate,2,500,3.8173886254543357,3.8244835617389117,0.18896278369365208,0.008450672591131896,3.500519814330092,3.5784533195587436,3.6878018400909762,3.9522419012948564,4.0504193467865806,4.135437295103381
outlook_v2,102,2025Q4,2026Q3,effective_federal_funds_rate,3,500,3.7717417516998726,3.766001901477023,0.22993570731725552,0.010283037440317583,3.3812075602126557,3.477213867406961,3.619569531191835,3.9232945682411535,4.068591243606092,4.122521754338288
outlook_v2,102,2025Q4,2026Q4,effective_federal_funds_rate,4,500,3.7174460400976916,3.71867436439165,0.25746123946696375,0.011514016660389653,3.3208562398845856,3.3928895943811876,3.5412713481881517,3.897058091420119,4.047981306684552,4.152646412490949
outlook_v2,102,2025Q4,2027Q1,effective_federal_funds_rate,5,500,3.6618973200777316,3.662978040045961,0.294021270426242,0.013149030950078513,3.176777931318006,3.3153277007121984,3.4698841360379316,3.861795394702278,4.035352999305442,4.121572845214434
outlook_v2,102,2025Q4,2027Q2,effective_federal_funds_rate,6,500,3.6189364626529907,3.615505391170304,0.3096098084015786,0.013846171561732304,3.13767653013839,3.2316996560195443,3.392838255810971,3.832567796229597,4.002724498673269,4.10533029959957
outlook_v2,102,2025Q4,2027Q3,effective_federal_funds_rate,7,500,3.567583290826761,3.567719103279199,0.3328000256554206,0.01488326960558389,3.0117013704448636,3.134370341654491,3.34571628414767,3.7991943485786495,3.96693043500022,4.0678875522397515
outlook_v2,102,2025Q4,2027Q4,effective_federal_funds_rate,8,500,3.5141750783741794,3.5157873828425723,0.35429612617643413,0.015844604445906987,2.9351159028611042,3.0615889199843638,3.293449446972935,3.76560486842728,3.967534477801493,4.070539581958479
outlook_v2,102,2025Q4,2028Q1,effective_federal_funds_rate,9,500,3.468148179929532,3.4629386509349436,0.3732540642218977,0.016692429209564708,2.8363767422899557,2.995480938222328,3.226574340637489,3.7282692720319037,3.9329080252604314,4.055343094887479
outlook_v2,102,2025Q4,2028Q2,effective_federal_funds_rate,10,500,3.4179855762573648,3.4170952334763527,0.4021994624742965,0.017986906772128053,2.7422739231064206,2.8740768169013697,3.1600216464014617,3.684286275745702,3.9151504987668,4.05077529018328
