variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
headline,40,2010Q2,2010Q2,2010-06-30,0,12,54,12,500,500,0,2.938839912414551,44.45480799674988
headline,41,2010Q3,2010Q3,2010-09-30,0,12,55,12,500,500,0,0.005858182907104492,47.320637941360474
headline,42,2010Q4,2010Q4,2010-12-31,0,12,56,12,500,500,0,0.029076099395751953,84.93716812133789
headline,43,2011Q1,2011Q1,2011-03-31,0,12,57,12,500,500,0,0.2414538860321045,238.9952371120453
headline,44,2011Q2,2011Q2,2011-06-30,0,12,58,12,500,500,0,1.0681860446929932,261.11414194107056
headline,45,2011Q3,2011Q3,2011-09-30,0,12,59,12,500,500,0,4.461817979812622,205.87650799751282
headline,46,2011Q4,2011Q4,2011-12-31,0,12,60,12,500,500,0,2.0410919189453125,81.22171306610107
headline,47,2012Q1,2012Q1,2012-03-31,0,12,61,12,500,500,0,0.07346796989440918,41.10511803627014
headline,48,2012Q2,2012Q2,2012-06-30,0,12,62,12,500,500,0,0.007256984710693359,227.54567003250122
headline,49,2012Q3,2012Q3,2012-09-30,0,12,63,12,500,500,0,0.06170487403869629,188.38851404190063
headline,50,2012Q4,2012Q4,2012-12-31,0,12,64,12,500,500,0,0.03639101982116699,113.19834017753601
headline,51,2013Q1,2013Q1,2013-03-31,0,12,65,12,500,500,0,0.030258893966674805,41.45920705795288
headline,52,2013Q2,2013Q2,2013-06-30,0,12,66,12,500,500,0,0.013319969177246094,41.35756707191467
headline,53,2013Q3,2013Q3,2013-09-30,0,12,67,12,500,500,0,0.016247034072875977,40.9199960231781
headline,54,2013Q4,2013Q4,2013-12-31,0,12,68,12,500,500,0,0.015356063842773438,41.225914001464844
headline,55,2014Q1,2014Q1,2014-03-31,0,12,69,12,500,500,0,0.0020270347595214844,40.92167282104492
headline,56,2014Q2,2014Q2,2014-06-30,0,12,70,12,500,500,0,0.014781951904296875,41.10861301422119
headline,57,2014Q3,2014Q3,2014-09-30,0,12,71,12,500,500,0,0.02319192886352539,41.92014789581299
headline,58,2014Q4,2014Q4,2014-12-31,0,12,72,12,500,500,0,0.015104055404663086,41.45855093002319
headline,59,2015Q1,2015Q1,2015-03-31,0,12,73,12,500,500,0,0.004149198532104492,40.65796995162964
headline,60,2015Q2,2015Q2,2015-06-30,0,12,74,12,500,500,0,0.0037381649017333984,41.07995295524597
headline,61,2015Q3,2015Q3,2015-09-30,0,12,75,12,500,500,0,0.009975910186767578,41.628106117248535
headline,62,2015Q4,2015Q4,2015-12-31,0,12,76,12,500,500,0,0.014854907989501953,42.12588810920715
headline,63,2016Q1,2016Q1,2016-03-31,0,12,77,12,500,500,0,0.003538846969604492,41.79077219963074
headline,64,2016Q2,2016Q2,2016-06-30,0,12,78,12,500,500,0,0.0018699169158935547,41.73657989501953
headline,65,2016Q3,2016Q3,2016-09-30,0,12,79,12,500,500,0,0.0018928050994873047,41.6049599647522
headline,66,2016Q4,2016Q4,2016-12-31,0,12,80,12,500,500,0,0.026797771453857422,43.95205807685852
headline,67,2017Q1,2017Q1,2017-03-31,0,12,81,12,500,500,0,0.012546062469482422,42.20079803466797
headline,68,2017Q2,2017Q2,2017-06-30,0,12,82,12,500,500,0,0.0042841434478759766,41.9313108921051
headline,69,2017Q3,2017Q3,2017-09-30,0,12,83,12,500,500,0,0.0036458969116210938,40.581104040145874
headline,70,2017Q4,2017Q4,2017-12-31,0,12,84,12,500,500,0,0.012979984283447266,41.869970083236694
headline,71,2018Q1,2018Q1,2018-03-31,0,12,85,12,500,500,0,0.01729893684387207,41.141063928604126
headline,72,2018Q2,2018Q2,2018-06-30,0,12,86,12,500,500,0,0.01155710220336914,41.28537702560425
headline,73,2018Q3,2018Q3,2018-09-30,0,12,87,12,500,500,0,0.01751399040222168,44.40196704864502
headline,74,2018Q4,2018Q4,2018-12-31,0,12,88,12,500,500,0,0.002125978469848633,41.62337613105774
headline,75,2019Q1,2019Q1,2019-03-31,0,12,89,12,500,500,0,0.015420913696289062,41.201984167099
headline,76,2019Q2,2019Q2,2019-06-30,0,12,90,12,500,500,0,0.004193782806396484,42.341963052749634
headline,77,2019Q3,2019Q3,2019-09-30,0,12,91,12,500,500,0,0.0018608570098876953,41.83018112182617
headline,78,2019Q4,2019Q4,2019-12-31,0,12,92,12,500,500,0,0.001873016357421875,42.01124382019043
headline,79,2020Q1,2020Q1,2020-03-31,0,12,93,12,500,500,0,0.0025739669799804688,40.60961604118347
headline,80,2020Q2,2020Q2,2020-06-30,0,12,94,12,500,500,0,0.009401082992553711,43.34513998031616
headline,81,2020Q3,2020Q3,2020-09-30,0,12,95,12,500,500,0,0.017740964889526367,44.18888807296753
headline,82,2020Q4,2020Q4,2020-12-31,0,12,96,12,500,500,0,0.016147136688232422,43.86578989028931
headline,83,2021Q1,2021Q1,2021-03-31,0,12,97,12,500,500,0,0.002914905548095703,43.48391509056091
headline,84,2021Q2,2021Q2,2021-06-30,0,12,98,12,500,500,0,0.002274036407470703,41.95287203788757
headline,85,2021Q3,2021Q3,2021-09-30,0,12,99,12,500,500,0,0.01737213134765625,41.117764949798584
headline,86,2021Q4,2021Q4,2021-12-31,0,12,100,12,500,500,0,0.013309955596923828,41.13962388038635
headline,87,2022Q1,2022Q1,2022-03-31,0,12,101,12,500,500,0,0.0037870407104492188,40.81628394126892
headline,88,2022Q2,2022Q2,2022-06-30,0,12,102,12,500,500,0,0.00279998779296875,40.09462308883667
headline,89,2022Q3,2022Q3,2022-09-30,0,12,103,12,500,500,0,0.014961957931518555,40.44639301300049
headline,90,2022Q4,2022Q4,2022-12-31,0,12,104,12,500,500,0,0.010421991348266602,40.520025968551636
headline,91,2023Q1,2023Q1,2023-03-31,0,12,105,12,500,500,0,0.0033020973205566406,40.726938009262085
headline,92,2023Q2,2023Q2,2023-06-30,0,12,106,12,500,500,0,0.003773927688598633,40.9600830078125
headline,93,2023Q3,2023Q3,2023-09-30,0,12,107,11,500,500,0,0.0017180442810058594,40.663082122802734
headline,94,2023Q4,2023Q4,2023-12-31,0,12,108,10,500,500,0,0.011744976043701172,40.8917350769043
headline,95,2024Q1,2024Q1,2024-03-31,0,12,109,9,500,500,0,0.0040740966796875,41.09373092651367
headline,96,2024Q2,2024Q2,2024-06-30,0,12,110,8,500,500,0,0.008046865463256836,40.23888301849365
headline,97,2024Q3,2024Q3,2024-09-30,0,12,111,7,500,500,0,0.003946065902709961,43.30965709686279
headline,98,2024Q4,2024Q4,2024-12-31,0,12,112,6,500,500,0,0.004322052001953125,40.668063163757324
headline,99,2025Q1,2025Q1,2025-03-31,0,12,113,5,500,500,0,0.014658927917480469,40.456356048583984
headline,100,2025Q2,2025Q2,2025-06-30,0,12,114,4,500,500,0,0.02763986587524414,40.17930817604065
