variant,origin_index,origin_period,build_period,calibration_date,burn_in_quarters,simulated_quarters,t_prime,t_max,paths_requested,paths_used,paths_failed,calibration_seconds,simulation_seconds
burnin4,87,2022Q1,2021Q1,2021-03-31,4,16,97,12,128,128,0,0.0069539546966552734,12.634912014007568
burnin4,88,2022Q2,2021Q2,2021-06-30,4,16,98,12,128,128,0,0.0004930496215820312,13.014220952987671
burnin4,89,2022Q3,2021Q3,2021-09-30,4,16,99,12,128,128,0,0.005796909332275391,13.426283121109009
burnin4,90,2022Q4,2021Q4,2021-12-31,4,16,100,12,128,128,0,0.005546092987060547,12.78183889389038
burnin4,91,2023Q1,2022Q1,2022-03-31,4,16,101,12,128,128,0,0.0005090236663818359,13.009607076644897
burnin4,92,2023Q2,2022Q2,2022-06-30,4,16,102,12,128,128,0,0.0020341873168945312,15.090505838394165
burnin4,93,2023Q3,2022Q3,2022-09-30,4,16,103,12,128,128,0,0.0025398731231689453,14.922075033187866
burnin4,94,2023Q4,2022Q4,2022-12-31,4,16,104,12,128,128,0,0.002961874008178711,13.36882209777832
burnin4,95,2024Q1,2023Q1,2023-03-31,4,16,105,12,128,128,0,0.0005838871002197266,13.170268058776855
burnin4,96,2024Q2,2023Q2,2023-06-30,4,16,106,12,128,128,0,0.0017809867858886719,13.118304967880249
burnin4,97,2024Q3,2023Q3,2023-09-30,4,16,107,11,128,128,0,0.0008709430694580078,14.073615074157715
burnin4,98,2024Q4,2023Q4,2023-12-31,4,16,108,10,128,128,0,0.0032711029052734375,14.836525917053223
burnin4,99,2025Q1,2024Q1,2024-03-31,4,16,109,9,128,128,0,0.009994983673095703,13.321660995483398
burnin4,100,2025Q2,2024Q2,2024-06-30,4,16,110,8,128,128,0,0.002647876739501953,13.129662036895752
