model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v1_burnin4,real_gdp,1,61,128,3.0740068577230923,0.2717063868137436,0.4893125873794109
beforeit_abm_us_v1_burnin4,real_gdp,2,60,128,3.069353847267346,0.27129511490796987,0.49171781772773976
beforeit_abm_us_v1_burnin4,real_gdp,4,58,128,2.944244415167311,0.2602368989294283,0.46100718744056696
beforeit_abm_us_v1_burnin4,real_gdp,8,54,128,2.8474409364587268,0.2516805993997673,0.5044905531144696
beforeit_abm_us_v1_burnin4,real_gdp,12,50,128,2.620041649962816,0.23158115220998718,0.46745480566124475
beforeit_abm_us_v1_burnin4,gdp_deflator,1,61,128,1.0861839972880787,0.09600600876233883,0.18612068807762921
beforeit_abm_us_v1_burnin4,gdp_deflator,2,60,128,1.0927405079804962,0.09658552790878015,0.17680085791397873
beforeit_abm_us_v1_burnin4,gdp_deflator,4,58,128,1.072705260735056,0.09481464551003019,0.19776357769588276
beforeit_abm_us_v1_burnin4,gdp_deflator,8,54,128,1.039037356519216,0.09183879508761024,0.20292003316996482
beforeit_abm_us_v1_burnin4,gdp_deflator,12,50,128,0.9861840614777841,0.08716717967112902,0.11116431516937622
beforeit_abm_us_v1_burnin4,nominal_gdp,1,61,128,3.25400518046984,0.2876161411407975,0.5047576526028893
beforeit_abm_us_v1_burnin4,nominal_gdp,2,60,128,3.266201645377061,0.2886941665210973,0.515585045196819
beforeit_abm_us_v1_burnin4,nominal_gdp,4,58,128,3.141810067669098,0.2776994005061231,0.5332753439088918
beforeit_abm_us_v1_burnin4,nominal_gdp,8,54,128,3.0448972596428594,0.2691334375387252,0.5054325724708129
beforeit_abm_us_v1_burnin4,nominal_gdp,12,50,128,2.804607083211169,0.24789458588780516,0.4826656971812702
beforeit_abm_us_v1_burnin4,unemployment_rate,1,61,128,0.8022381739806004,0.07090850661854949,0.12584259649042953
beforeit_abm_us_v1_burnin4,unemployment_rate,2,60,128,0.806455899393902,0.07128130439866552,0.12659120226092258
beforeit_abm_us_v1_burnin4,unemployment_rate,4,58,128,0.8259909249534737,0.07300797302914372,0.12138860352582696
beforeit_abm_us_v1_burnin4,unemployment_rate,8,54,128,0.8437941403980018,0.07458156982511259,0.12827812216974394
beforeit_abm_us_v1_burnin4,unemployment_rate,12,50,128,0.8227645456693338,0.07272279869533184,0.12898902067232726
beforeit_abm_us_v1_burnin4,effective_federal_funds_rate,1,61,128,0.27820066105982627,0.024589696745747926,0.03178074302197666
beforeit_abm_us_v1_burnin4,effective_federal_funds_rate,2,60,128,0.29512615078602306,0.026085712815785048,0.0335069273511106
beforeit_abm_us_v1_burnin4,effective_federal_funds_rate,4,58,128,0.3202355652725155,0.028305092472662878,0.036608903187297676
beforeit_abm_us_v1_burnin4,effective_federal_funds_rate,8,54,128,0.342032121281346,0.030231654042707428,0.04201732317107834
beforeit_abm_us_v1_burnin4,effective_federal_funds_rate,12,50,128,0.35381976821924094,0.03127354467820972,0.04209432885954401
