month,series_id,published_value,latest,footnote_codes
2005-12,CES0000000001,135159,false,none
2005-12,LNS14000000,4.9,false,none
2006-01,CES0000000001,135427,false,none
2006-01,LNS14000000,4.7,false,none
2006-02,CES0000000001,135733,false,none
2006-02,LNS14000000,4.8,false,none
2006-03,CES0000000001,136038,false,none
2006-03,LNS14000000,4.7,false,none
2006-04,CES0000000001,136210,false,none
2006-04,LNS14000000,4.7,false,none
2006-05,CES0000000001,136249,false,none
2006-05,LNS14000000,4.6,false,none
2006-06,CES0000000001,136337,false,none
2006-06,LNS14000000,4.6,false,none
2006-07,CES0000000001,136529,false,none
2006-07,LNS14000000,4.7,false,none
2006-08,CES0000000001,136692,false,none
2006-08,LNS14000000,4.7,false,none
2006-09,CES0000000001,136826,false,none
2006-09,LNS14000000,4.5,false,none
2006-10,CES0000000001,136843,false,none
2006-10,LNS14000000,4.4,false,none
2006-11,CES0000000001,137060,false,none
2006-11,LNS14000000,4.5,false,none
2006-12,CES0000000001,137249,false,none
2006-12,LNS14000000,4.4,false,none
2007-01,CES0000000001,137472,false,none
2007-01,LNS14000000,4.6,false,none
2007-02,CES0000000001,137560,false,none
2007-02,LNS14000000,4.5,false,none
2007-03,CES0000000001,137784,false,none
2007-03,LNS14000000,4.4,false,none
2007-04,CES0000000001,137847,false,none
2007-04,LNS14000000,4.5,false,none
2007-05,CES0000000001,137992,false,none
2007-05,LNS14000000,4.4,false,none
2007-06,CES0000000001,138070,false,none
2007-06,LNS14000000,4.6,false,none
2007-07,CES0000000001,138044,false,none
2007-07,LNS14000000,4.7,false,none
2007-08,CES0000000001,138013,false,none
2007-08,LNS14000000,4.6,false,none
2007-09,CES0000000001,138099,false,none
2007-09,LNS14000000,4.7,false,none
2007-10,CES0000000001,138175,false,none
2007-10,LNS14000000,4.7,false,none
2007-11,CES0000000001,138290,false,none
2007-11,LNS14000000,4.7,false,none
2007-12,CES0000000001,138395,false,none
2007-12,LNS14000000,5.0,false,none
2008-01,CES0000000001,138391,false,none
2008-01,LNS14000000,5.0,false,none
2008-02,CES0000000001,138329,false,none
2008-02,LNS14000000,4.9,false,none
2008-03,CES0000000001,138259,false,none
2008-03,LNS14000000,5.1,false,none
2008-04,CES0000000001,138040,false,none
2008-04,LNS14000000,5.0,false,none
2008-05,CES0000000001,137851,false,none
2008-05,LNS14000000,5.4,false,none
2008-06,CES0000000001,137700,false,none
2008-06,LNS14000000,5.6,false,none
2008-07,CES0000000001,137497,false,none
2008-07,LNS14000000,5.8,false,none
2008-08,CES0000000001,137211,false,none
2008-08,LNS14000000,6.1,false,none
2008-09,CES0000000001,136760,false,none
2008-09,LNS14000000,6.1,false,none
2008-10,CES0000000001,136291,false,none
2008-10,LNS14000000,6.5,false,none
2008-11,CES0000000001,135541,false,none
2008-11,LNS14000000,6.8,false,none
2008-12,CES0000000001,134847,false,none
2008-12,LNS14000000,7.3,false,none
2009-01,CES0000000001,134079,false,none
2009-01,LNS14000000,7.8,false,none
2009-02,CES0000000001,133318,false,none
2009-02,LNS14000000,8.3,false,none
2009-03,CES0000000001,132494,false,none
2009-03,LNS14000000,8.7,false,none
2009-04,CES0000000001,131822,false,none
2009-04,LNS14000000,9.0,false,none
2009-05,CES0000000001,131466,false,none
2009-05,LNS14000000,9.4,false,none
2009-06,CES0000000001,131008,false,none
2009-06,LNS14000000,9.5,false,none
2009-07,CES0000000001,130662,false,none
2009-07,LNS14000000,9.5,false,none
2009-08,CES0000000001,130472,false,none
2009-08,LNS14000000,9.6,false,none
2009-09,CES0000000001,130246,false,none
2009-09,LNS14000000,9.8,false,none
2009-10,CES0000000001,130061,false,none
2009-10,LNS14000000,10.0,false,none
2009-11,CES0000000001,130057,false,none
2009-11,LNS14000000,9.9,false,none
2009-12,CES0000000001,129808,false,none
2009-12,LNS14000000,9.9,false,none
2010-01,CES0000000001,129802,false,none
2010-01,LNS14000000,9.8,false,none
2010-02,CES0000000001,129706,false,none
2010-02,LNS14000000,9.8,false,none
2010-03,CES0000000001,129866,false,none
2010-03,LNS14000000,9.9,false,none
2010-04,CES0000000001,130120,false,none
2010-04,LNS14000000,9.9,false,none
2010-05,CES0000000001,130642,false,none
2010-05,LNS14000000,9.6,false,none
2010-06,CES0000000001,130510,false,none
2010-06,LNS14000000,9.4,false,none
2010-07,CES0000000001,130415,false,none
2010-07,LNS14000000,9.4,false,none
2010-08,CES0000000001,130415,false,none
2010-08,LNS14000000,9.5,false,none
2010-09,CES0000000001,130341,false,none
2010-09,LNS14000000,9.5,false,none
2010-10,CES0000000001,130620,false,none
2010-10,LNS14000000,9.4,false,none
2010-11,CES0000000001,130749,false,none
2010-11,LNS14000000,9.8,false,none
2010-12,CES0000000001,130830,false,none
2010-12,LNS14000000,9.3,false,none
2011-01,CES0000000001,130837,false,none
2011-01,LNS14000000,9.1,false,none
2011-02,CES0000000001,131057,false,none
2011-02,LNS14000000,9.0,false,none
2011-03,CES0000000001,131283,false,none
2011-03,LNS14000000,9.0,false,none
2011-04,CES0000000001,131597,false,none
2011-04,LNS14000000,9.1,false,none
2011-05,CES0000000001,131703,false,none
2011-05,LNS14000000,9.0,false,none
2011-06,CES0000000001,131931,false,none
2011-06,LNS14000000,9.1,false,none
2011-07,CES0000000001,131992,false,none
2011-07,LNS14000000,9.0,false,none
2011-08,CES0000000001,132125,false,none
2011-08,LNS14000000,9.0,false,none
2011-09,CES0000000001,132344,false,none
2011-09,LNS14000000,9.0,false,none
2011-10,CES0000000001,132553,false,none
2011-10,LNS14000000,8.8,false,none
2011-11,CES0000000001,132690,false,none
2011-11,LNS14000000,8.6,false,none
2011-12,CES0000000001,132888,false,none
2011-12,LNS14000000,8.5,false,none
2012-01,CES0000000001,133246,false,none
2012-01,LNS14000000,8.3,false,none
2012-02,CES0000000001,133509,false,none
2012-02,LNS14000000,8.3,false,none
2012-03,CES0000000001,133748,false,none
2012-03,LNS14000000,8.2,false,none
2012-04,CES0000000001,133825,false,none
2012-04,LNS14000000,8.2,false,none
2012-05,CES0000000001,133932,false,none
2012-05,LNS14000000,8.2,false,none
2012-06,CES0000000001,134013,false,none
2012-06,LNS14000000,8.2,false,none
2012-07,CES0000000001,134157,false,none
2012-07,LNS14000000,8.2,false,none
2012-08,CES0000000001,134339,false,none
2012-08,LNS14000000,8.1,false,none
2012-09,CES0000000001,134517,false,none
2012-09,LNS14000000,7.8,false,none
2012-10,CES0000000001,134669,false,none
2012-10,LNS14000000,7.8,false,none
2012-11,CES0000000001,134825,false,none
2012-11,LNS14000000,7.7,false,none
2012-12,CES0000000001,135074,false,none
2012-12,LNS14000000,7.9,false,none
2013-01,CES0000000001,135257,false,none
2013-01,LNS14000000,8.0,false,none
2013-02,CES0000000001,135546,false,none
2013-02,LNS14000000,7.7,false,none
