model_family,target_id,horizon,origin_count,monte_carlo_paths,mean_ensemble_sd,mean_monte_carlo_standard_error,maximum_monte_carlo_standard_error
beforeit_abm_us_v3,real_gdp,1,61,500,3.218879327066591,0.1439526597337935,0.23213253717993274
beforeit_abm_us_v3,real_gdp,2,60,500,3.285782584757669,0.14694466437606227,0.23895422803806252
beforeit_abm_us_v3,real_gdp,4,58,500,3.245733300134807,0.14515360591872312,0.24675021600786956
beforeit_abm_us_v3,real_gdp,8,54,500,3.163824445996215,0.141490530602463,0.25751548492682175
beforeit_abm_us_v3,real_gdp,12,50,500,2.9862657145275375,0.1335498627312111,0.2397411413842917
beforeit_abm_us_v3,gdp_deflator,1,61,500,0.8557645347813366,0.03827095345009103,0.0519409916706212
beforeit_abm_us_v3,gdp_deflator,2,60,500,1.0079053158396971,0.04507489602201916,0.06591003058188677
beforeit_abm_us_v3,gdp_deflator,4,58,500,1.0794358219117064,0.048273837502858644,0.08428808623953433
beforeit_abm_us_v3,gdp_deflator,8,54,500,1.0729368761775577,0.04798319581398588,0.09237493636122888
beforeit_abm_us_v3,gdp_deflator,12,50,500,1.0367083638148349,0.04636300748665109,0.09996520846803623
beforeit_abm_us_v3,nominal_gdp,1,61,500,3.336377127444447,0.14920732111082524,0.23677869973375443
beforeit_abm_us_v3,nominal_gdp,2,60,500,3.441092021722204,0.1538903135480606,0.24661048833386018
beforeit_abm_us_v3,nominal_gdp,4,58,500,3.4199910493283583,0.15294664937478092,0.25354230368085007
beforeit_abm_us_v3,nominal_gdp,8,54,500,3.3468364255675254,0.14967507514282802,0.2639316956243607
beforeit_abm_us_v3,nominal_gdp,12,50,500,3.162367017004804,0.1414253523965195,0.25130761935949086
beforeit_abm_us_v3,unemployment_rate,1,61,500,0.3469729203080888,0.015517100723210076,0.03274857820048367
beforeit_abm_us_v3,unemployment_rate,2,60,500,0.5600752182750466,0.025047325211520723,0.0499712279285469
beforeit_abm_us_v3,unemployment_rate,4,58,500,0.8425466918680516,0.037679833544690663,0.06713947307275865
beforeit_abm_us_v3,unemployment_rate,8,54,500,1.2365749675636346,0.05530131373493768,0.08871407633353881
beforeit_abm_us_v3,unemployment_rate,12,50,500,1.4605756206902065,0.065318927482845,0.09443263114873696
beforeit_abm_us_v3,effective_federal_funds_rate,1,61,500,0.138855895669149,0.0062098244358567145,0.008290519930062995
beforeit_abm_us_v3,effective_federal_funds_rate,2,60,500,0.18881374798683032,0.008444007511701334,0.010891268976855932
beforeit_abm_us_v3,effective_federal_funds_rate,4,58,500,0.24960188292723606,0.01116253555074488,0.014570111427038809
beforeit_abm_us_v3,effective_federal_funds_rate,8,54,500,0.3135702544172642,0.01402328809197813,0.017815966281886128
beforeit_abm_us_v3,effective_federal_funds_rate,12,50,500,0.3349603155417482,0.014979880706322566,0.01798216747895025
