variant,origin,path,quarter,utilization,capacity_index,book_capital,unemployment_rate,annualized_real_growth
headline_v2,2012Q4,1,0,0.8500000000000001,8.272650469931974e6,5.6748216336e7,3.723986856516977,NaN
headline_v2,2012Q4,1,1,0.8513668054731297,8.272650469931974e6,5.6748216336e7,3.723986856516977,0.6407853136117581
headline_v2,2012Q4,1,2,0.8502293657617116,8.272650469931974e6,5.6748216336e7,3.7787513691128147,-0.5064151914801585
headline_v2,2012Q4,1,3,0.8566491455842058,8.272650469931974e6,5.6748216336e7,3.6144578313253013,2.956826105957333
headline_v2,2012Q4,1,4,0.8579632912961818,8.272650469931974e6,5.6748216335999995e7,3.5049288061336252,0.5661119894433853
headline_v2,2012Q4,1,5,0.8714644027305296,8.272650469931974e6,5.6748216335999995e7,2.135815991237678,6.206626614323341
headline_v2,2012Q4,1,6,0.8815471842849889,8.272650469931974e6,5.6748216335999995e7,0.8762322015334063,4.504268024867741
headline_v2,2012Q4,1,7,0.876650930045184,8.272650469931974e6,5.6748216335999995e7,1.4786418400876231,-2.346536441201863
headline_v2,2012Q4,1,8,0.8701344334558205,8.272650469931974e6,5.6748216335999995e7,2.3001095290251916,-3.0046563849602137
headline_v2,2012Q4,1,9,0.8857957875720807,8.272650469931974e6,5.6748216335999995e7,0.7119386637458927,7.132031725296173
headline_v2,2012Q4,1,10,0.8752422839285904,8.272650469931974e6,5.6748216335999995e7,1.7524644030668126,-4.98824751073812
headline_v2,2012Q4,1,11,0.8938416315394961,8.272650469931974e6,5.6748216335999995e7,0.0,8.485580893001554
headline_v2,2012Q4,1,12,0.9094144986909005,8.272650469931974e6,5.6748216335999995e7,0.0,6.709999371182818
headline_v2,2012Q4,1,13,0.9108755410501731,8.272650469931974e6,5.6748216335999995e7,0.0,0.5571686188169167
headline_v2,2012Q4,1,14,0.9305306154789629,8.272650469931974e6,5.6748216335999995e7,0.0,8.471628169654366
headline_v2,2012Q4,1,15,0.9408897059710509,8.272650469931974e6,5.6748216335999995e7,0.0,4.443331928235494
headline_v2,2012Q4,1,16,0.9424685382651542,8.272650469931974e6,5.6748216335999995e7,0.0,0.7209745673243617
headline_v2,2012Q4,1,17,0.960579446149966,8.272650469931974e6,5.6748216335999995e7,0.0,7.769289815637137
headline_v2,2012Q4,1,18,0.9648512263112418,8.272650641598717e6,5.674821783722839e7,0.0,1.8048739285006832
headline_v2,2012Q4,1,19,0.9840424698339196,8.272651342741691e6,5.674822171468748e7,0.0,8.040082474368404
headline_v2,2012Q4,1,20,0.9866973222738703,8.272651351224478e6,5.674822176159926e7,0.0,1.036537998671605
headline_v2,2012Q4,1,21,0.9892104324081042,8.272664235490675e6,5.674824272632593e7,0.0,1.0314935446103846
headline_v2,2012Q4,1,22,0.991173115830808,8.272664979477358e6,5.6748243924572885e7,0.0,0.7986723235298143
headline_v2,2012Q4,1,23,0.9896412777732851,8.272665014076367e6,5.6748243980489835e7,0.0,-0.6314707258098906
headline_v2,2012Q4,1,24,0.9907248583624796,8.272665015612379e6,5.674824398298912e7,0.0,0.45772166740292164
headline_v2,2012Q4,2,0,0.85,8.272650469931976e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v2,2012Q4,2,1,0.8613289606279636,8.272650469931976e6,5.6748216335999995e7,3.3953997809419496,5.275757392622182
headline_v2,2012Q4,2,2,0.8584566841073863,8.272650469931975e6,5.6748216335999995e7,3.5596933187294635,-1.4473534083677464
headline_v2,2012Q4,2,3,0.8670024453799596,8.272650469931975e6,5.6748216335999995e7,2.6834611171960567,3.926594855411736
headline_v2,2012Q4,2,4,0.8716849070911385,8.272650469931975e6,5.6748216335999995e7,2.245345016429354,2.072829192695025
headline_v2,2012Q4,2,5,0.8759993541632246,8.272650469931974e6,5.6748216335999995e7,1.6976998904709748,1.9137690196643575
headline_v2,2012Q4,2,6,0.8836856497528376,8.272650469931974e6,5.6748216335999995e7,1.04052573932092,3.4834462388630527
