sample_track,model_id,target_id,horizon,nominal_level,observation_count,empirical_coverage,mean_width,below_rate,above_rate
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,2,0.8,60,0.8666666666666667,8.77805398245888,0.06666666666666667,0.06666666666666667
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,1,0.8,61,0.9180327868852459,8.239503732293567,0.06557377049180328,0.01639344262295082
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,12,0.8,50,0.16,0.8749461393207753,0.4,0.44
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,8,0.8,54,0.2222222222222222,0.8173026683291936,0.3888888888888889,0.3888888888888889
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,12,0.8,50,0.86,7.67314727106776,0.08,0.06
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,4,0.8,58,0.43103448275862066,2.082467802243457,0.0,0.5689655172413793
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,12,0.8,50,0.8,8.104208902422643,0.08,0.12
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,1,0.8,61,0.32786885245901637,0.7120284416353945,0.0,0.6721311475409836
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,4,0.8,58,0.43103448275862066,0.6592473800404118,0.22413793103448276,0.3448275862068966
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,12,0.8,50,0.68,2.607667760185106,0.1,0.22
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,8,0.8,54,0.8518518518518519,8.079908112282602,0.07407407407407407,0.07407407407407407
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,4,0.8,58,0.7413793103448276,2.734302746529975,0.1206896551724138,0.13793103448275862
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,4,0.8,58,0.8620689655172413,8.856765928703929,0.05172413793103448,0.08620689655172414
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,8,0.8,54,0.4444444444444444,3.1700539531864833,0.0,0.5555555555555556
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,4,0.9,58,0.8793103448275862,11.34674315582455,0.05172413793103448,0.06896551724137931
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,12,0.9,50,0.16,1.1097930540899066,0.4,0.44
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,8,0.9,54,0.8518518518518519,10.865241321625032,0.05555555555555555,0.09259259259259259
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,2,0.9,60,0.6833333333333333,0.6122883657586525,0.1,0.21666666666666667
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,1,0.9,61,0.7540983606557377,0.4451864972889471,0.08196721311475409,0.16393442622950818
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,8,0.9,54,0.35185185185185186,1.0374472549196478,0.2962962962962963,0.35185185185185186
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,12,0.9,50,0.8,10.414512533129026,0.08,0.12
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,2,0.9,60,0.4166666666666667,1.8755932822197874,0.0,0.5833333333333334
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,8,0.9,54,0.48148148148148145,3.9624153178370043,0.0,0.5185185185185185
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,12,0.9,50,0.86,9.917626671806621,0.08,0.06
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,8,0.9,54,0.7407407407407407,3.503214553682555,0.07407407407407407,0.18518518518518517
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,1,0.9,61,0.9344262295081968,10.929671527470154,0.04918032786885246,0.01639344262295082
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,2,0.9,60,0.7666666666666667,3.28652618538226,0.11666666666666667,0.11666666666666667
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,1,0.9,61,0.9508196721311475,10.481797719827787,0.03278688524590164,0.01639344262295082
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,1,0.9,61,0.36065573770491804,1.1504138760706009,0.0,0.639344262295082
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,2,0.9,60,0.9166666666666666,11.212977893641662,0.05,0.03333333333333333
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,1,0.9,61,0.7377049180327869,2.816280907074339,0.09836065573770492,0.16393442622950818
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,4,0.9,58,0.7931034482758621,3.521545687845728,0.08620689655172414,0.1206896551724138
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,2,0.9,60,0.95,10.686829373311658,0.03333333333333333,0.016666666666666666
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,4,0.9,58,0.5172413793103449,0.8232379481084111,0.1724137931034483,0.3103448275862069
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,4,0.9,58,0.9310344827586207,10.727942556481393,0.05172413793103448,0.017241379310344827
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,8,0.9,54,0.8888888888888888,10.333593992474873,0.05555555555555555,0.05555555555555555
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,4,0.9,58,0.4482758620689655,2.8878838236960376,0.0,0.5517241379310345
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,12,0.9,50,0.5,4.623767798466592,0.0,0.5
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,12,0.9,50,0.7,3.358472931595704,0.1,0.2
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,1,0.5,50,0.62,0.2034118929268315,0.14,0.24
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,2,0.5,50,0.2,0.34912376779846654,0.0,0.8
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,8,0.5,50,0.48,1.360978201513845,0.2,0.32
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,12,0.5,50,0.28,2.1437568455640745,0.0,0.72
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,real_gdp,2,0.5,50,0.66,3.958951028496586,0.16,0.18
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,2,0.5,50,0.42,0.2719900729155024,0.3,0.28
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,8,0.5,50,0.54,4.317486819816548,0.22,0.24
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,real_gdp,4,0.5,50,0.64,3.9994049328872983,0.16,0.2
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,2,0.5,50,0.58,1.254490668330373,0.18,0.24
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,real_gdp,8,0.5,50,0.66,4.098640839214159,0.18,0.16
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,4,0.5,50,0.5,1.3410647043126322,0.22,0.28
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,real_gdp,12,0.5,50,0.7,4.010589798046143,0.16,0.14
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,1,0.5,50,0.58,3.9995784569361312,0.2,0.22
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,4,0.5,50,0.26,0.7067360350492882,0.0,0.74
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,12,0.5,50,0.46,1.3553670832311544,0.18,0.36
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,4,0.5,50,0.6,4.278605817755601,0.2,0.2
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,8,0.5,50,0.32,1.6437568455640748,0.0,0.68
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,1,0.5,50,0.3,1.074553152799794,0.34,0.36
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,2,0.5,50,0.58,4.146681903719298,0.2,0.22
