variant,origin_index,origin_period,target_period,target_id,horizon,paths_used,ensemble_mean,ensemble_median,ensemble_sd,monte_carlo_standard_error,percentile_05,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95
burnin,40,2010Q2,2010Q3,effective_federal_funds_rate,1,128,0.37410944116349004,0.3823806972416133,0.22845652195141047,0.020192894484766962,0.0,0.03332592165908866,0.18960570695369383,0.5429390657843591,0.6663159537654573,0.7052816129674222
burnin,40,2010Q2,2010Q4,effective_federal_funds_rate,2,128,0.5050330194630297,0.5187487818207104,0.2781296511080587,0.024583420293444607,0.00475136652244746,0.12072442601167802,0.32175595244950395,0.6839766347830845,0.860640547898055,1.018950016417518
burnin,40,2010Q2,2011Q1,effective_federal_funds_rate,3,128,0.6200845193464306,0.6046278024796847,0.3173837930822747,0.02805302904089806,0.0898446520600649,0.21122955224089024,0.397994988425171,0.8182220893299563,1.0505679173231708,1.1677633393218918
burnin,40,2010Q2,2011Q2,effective_federal_funds_rate,4,128,0.7218253650029345,0.7200276136774542,0.3405749824708513,0.030102859950953558,0.16653969140177027,0.25844420822886294,0.48903401673205393,0.9071756733476988,1.1495643649033993,1.2981567957275373
burnin,40,2010Q2,2011Q3,effective_federal_funds_rate,5,128,0.8189580941273408,0.8080252658850928,0.4011177273162539,0.035454133129932446,0.20059028431842596,0.3336956111213607,0.5674479470152483,1.0590394431755579,1.298227299740453,1.5554583819169319
burnin,40,2010Q2,2011Q4,effective_federal_funds_rate,6,128,0.9188549982122823,0.8701563013666092,0.43847654584268786,0.03875621736957733,0.24570799731025383,0.450642149631415,0.6291001727064371,1.2032862773987463,1.5001138244779222,1.7352575136500064
burnin,40,2010Q2,2012Q1,effective_federal_funds_rate,7,128,0.9390644960932834,0.898161733288938,0.43915142673566676,0.03881586897656716,0.28962841880984636,0.4057357041618737,0.6316656612190774,1.193367135358675,1.534469311128723,1.7493259584401277
burnin,40,2010Q2,2012Q2,effective_federal_funds_rate,8,128,0.9637172107353611,0.9069400369877023,0.4157896996939715,0.03675096452514067,0.3280791124280491,0.45350582439781295,0.7179629649462504,1.27439363161983,1.4801672189486736,1.676649896477429
burnin,40,2010Q2,2012Q3,effective_federal_funds_rate,9,128,1.009991068140922,0.976989903990555,0.4204088854427839,0.03715924672095886,0.3309267729138565,0.4445673848572551,0.7076107600800519,1.3137452283333295,1.6083180478525216,1.7134875931975146
burnin,40,2010Q2,2012Q4,effective_federal_funds_rate,10,128,1.0473342522597162,1.0541167080653113,0.4232333430464539,0.03740889586154998,0.35336365721068796,0.5198334631010271,0.7575255347989251,1.3489361858287252,1.6291955099818467,1.6958237619575345
burnin,40,2010Q2,2013Q1,effective_federal_funds_rate,11,128,1.0893165272904752,1.0818111630299887,0.4270400760593969,0.03774536670250232,0.3911995106713151,0.5790837983559594,0.825156767382873,1.372849061643594,1.6906802339107974,1.7523894948406427
burnin,40,2010Q2,2013Q2,effective_federal_funds_rate,12,128,1.1611493816729,1.1948814397667817,0.4149739221274081,0.03667885929398357,0.5169953992806475,0.6069053562325011,0.8717397360086421,1.4596048223200542,1.717542729185093,1.784282473519888
burnin,40,2010Q2,2010Q3,gdp_deflator,1,128,1.5002411310023056,1.4670200251750032,0.9091800939560543,0.08036092621951854,-0.034033254809529,0.37127292507804566,0.8664955341892266,2.044143992872982,2.6423933120107534,3.004425266472843
burnin,40,2010Q2,2010Q4,gdp_deflator,2,128,1.5800793861237838,1.6331761584357452,0.9229075808408287,0.08157427610262771,0.049272209171853446,0.5084340515485054,0.97528910718232,2.2254308493149466,2.6563506507088164,3.031586231950669
burnin,40,2010Q2,2011Q1,gdp_deflator,3,128,1.7582506665527742,1.7673859356651889,1.0832343874237746,0.09574529762022585,0.05719578379661532,0.5580983690761343,1.0242884916349837,2.5400480253717106,2.981895528547156,3.2949806333627407
burnin,40,2010Q2,2011Q2,gdp_deflator,4,128,1.7562751275023492,1.8312528960354513,1.1644945348051068,0.10292774777692063,-0.3399477627752032,0.2998871092368916,0.9671524415681532,2.5180691013805045,3.2463553777567,3.554103582056527
burnin,40,2010Q2,2011Q3,gdp_deflator,5,128,1.7621099279142405,1.8662306469657608,1.105374286532765,0.09770220671956999,-0.03403703546677396,0.35266071346299555,1.097617039141241,2.5745474488472198,3.032576365284214,3.389411247383726
burnin,40,2010Q2,2011Q4,gdp_deflator,6,128,1.7707488117550796,1.8781288774214033,1.069209929143163,0.0945056989261398,-0.1962941850745636,0.25734468986811976,1.1040684034421488,2.449954579638103,2.977174301077028,3.4644668696968477
burnin,40,2010Q2,2012Q1,gdp_deflator,7,128,1.6950707642610807,1.750118300279624,1.0864139633253849,0.09602633508039159,-0.21153584196937908,0.19087026355435915,0.9882098453562804,2.4649645878223936,2.9626082293479072,3.284648074866324
