sample_track,target_set,model_id,benchmark_model_id,status,target_horizon_cell_count,expected_target_horizon_cell_count,minimum_common_observation_count,maximum_common_observation_count,model_failure_count,all_model_failure_count,failure_free,weighted_macro_average_cellwise_rmse_ratio,weighted_macro_average_cellwise_mae_ratio
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.0747618363076665,1.1213803094292427
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.1057663893348681,1.1562877601310952
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.8789119796674197,0.8380823355571503
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9178841242969804,0.8877330687235799
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9387425645223512,0.92274418228974
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9285810586279682,0.9010958204625694
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.0,1.0
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,2.120736236368622,1.496073767599479
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,5.312660922494435,2.6721041335565516
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9079538493976241,0.895707574718776
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v1_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9047836956905649,1.137022116199356
abm_all_available_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v1_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9033574661534554,1.1302571461299964
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9050174127714063,0.8840107344139223
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.9632427934420562,1.0232708598781626
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.2589801381551524,1.7103116154773785
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.8307056677273899,0.7952946292289056
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.7912161024239096,0.8326110090156296
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.7796454595584312,0.81643492074669
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.0,1.0
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,1.5804277443712387,1.2456435184204384
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,3.543094972326881,1.9896733208740385
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.8092690824536513,0.8639316381877572
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v1_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.7824063794006071,0.9705265908570169
abm_all_available_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v1_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,61,0,0,true,0.7810367082255644,0.9620237255066639
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.071534004654398,1.1245609033207111
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.10255173636835,1.159728034058359
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.8843141446871345,0.8461750730347184
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.9184853050074173,0.8901014174010121
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.9416278375308395,0.9332512030519767
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.9304250043667068,0.9080240983593629
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.0,1.0
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,2.122345854417733,1.4974009449871613
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,5.319143435436277,2.6851546912658937
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.9089986121426213,0.8931791586857714
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v1_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.8937660203900836,1.1022176458649349
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v1_median,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.8929298563558177,1.0976623325134793
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.893815299704194,0.8600959214366362
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.952953062506577,1.008362616353439
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.0782025896165848,1.4449752878084807
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.8125487615925151,0.7609985222166487
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.7871916439028697,0.8292984684078779
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,0.7702020999347929,0.797634230879075
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.0,1.0
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,1.57168918902587,1.2246566635989236
abm_balanced_h12_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,50,50,0,0,true,3.533647581512419,1.967050800536632
