DATAFLOW,FREQ,REF_AREA,TRANSACTION,ACTIVITY,PRODUCT,UNIT_MEASURE,VALUATION,PRICE_BASE,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,SECTOR,ACCOUNTING_ENTRY,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,N81,_T,XDC,B,V,T1610,2024,176312.95,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,N81,_T,XDC,Y,V,T1610,2024,5476.31,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A,_T,XDC,O,V,T1610,2024,364158.26,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,_T,_T,XDC,B,V,T1610,2024,21103091.23,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,_T,_T,XDC,Y,V,T1610,2024,335451.24,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,_T,_T,XDC,O,V,T1610,2024,21438542.47,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A03,_T,XDC,Y,V,T1610,2024,53.08,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A03,_T,XDC,O,V,T1610,2024,703.22,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A02,_T,XDC,B,V,T1610,2024,10094.3,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A02,_T,XDC,Y,V,T1610,2024,42.36,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A02,_T,XDC,O,V,T1610,2024,10136.66,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A01,_T,XDC,B,V,T1610,2024,356948.84,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A01,_T,XDC,Y,V,T1610,2024,-3630.47,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A01,_T,XDC,O,V,T1610,2024,353318.37,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A,_T,XDC,B,V,T1610,2024,367693.28,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,A,_T,XDC,Y,V,T1610,2024,-3535.02,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,C,_T,XDC,B,V,T1610,2024,4209449.12,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,C,_T,XDC,Y,V,T1610,2024,67352.72,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,C,_T,XDC,O,V,T1610,2024,4276801.84,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B09,_T,XDC,B,V,T1610,2024,38707.94,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B09,_T,XDC,Y,V,T1610,2024,1012.22,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B09,_T,XDC,O,V,T1610,2024,39720.16,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B08,_T,XDC,B,V,T1610,2024,19359.78,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B08,_T,XDC,Y,V,T1610,2024,596.96,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B08,_T,XDC,O,V,T1610,2024,19956.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B07,_T,XDC,B,V,T1610,2024,20048.22,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B07,_T,XDC,Y,V,T1610,2024,917.74,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B07,_T,XDC,O,V,T1610,2024,20965.96,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B06,_T,XDC,B,V,T1610,2024,199479.87,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B06,_T,XDC,Y,V,T1610,2024,3905.31,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B06,_T,XDC,O,V,T1610,2024,203385.18,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEBP(2.0),A,USA,P2,B05,_T,XDC,B,V,T1610,2024,17593.32,D,S1,D,F,2,A,6,USD
