parameter,original,optimized,lower_bound,upper_bound,percent_change
rho,0.9548112549102016,0.9114583333333334,0.7,0.99,-4.540470313260547
r_star,-0.0010439264362334271,-0.0023333333333333335,-0.005,0.003,123.51511106014263
xi_pi,0.7896552832060265,0.7083333333333334,0.5,1.5,-10.298411421060006
xi_gamma,0.5321677794872977,0.25873027948729765,0.0,1.25,-51.381821774974014
