sample_track,model_id,origin_index,origin_period,target_period,target_id,horizon,error,squared_error,absolute_error
all,naive_no_change,40,2010Q2,2010Q3,real_gdp,1,0.7792308470430003,0.6072007129833517,0.7792308470430003
all,naive_no_change,40,2010Q2,2010Q3,gdp_deflator,1,0.7353154518630001,0.540688813748488,0.7353154518630001
all,naive_no_change,40,2010Q2,2010Q3,unemployment_rate,1,0.16666666666599994,0.027777777777555537,0.16666666666599994
all,naive_no_change,40,2010Q2,2010Q3,effective_federal_funds_rate,1,0.0034374999999999822,1.1816406249999878e-5,0.0034374999999999822
all,naive_no_change,40,2010Q2,2010Q3,nominal_gdp,1,1.5112950507339997,2.2840127303730826,1.5112950507339997
all,naive_no_change,40,2010Q2,2010Q4,real_gdp,2,1.7567944712630004,3.086326814260245,1.7567944712630004
all,naive_no_change,40,2010Q2,2010Q4,gdp_deflator,2,-0.36596473558199993,0.13393018768960313,0.36596473558199993
all,naive_no_change,40,2010Q2,2010Q4,unemployment_rate,2,0.13333333333300068,0.01777777777768907,0.13333333333300068
all,naive_no_change,40,2010Q2,2010Q4,effective_federal_funds_rate,2,0.002509920634999996,6.2997015939987825e-6,0.002509920634999996
all,naive_no_change,40,2010Q2,2010Q4,nominal_gdp,2,1.388117366355,1.9268698227763412,1.388117366355
all,naive_no_change,40,2010Q2,2011Q2,real_gdp,4,1.1545249415770003,1.3329278407233758,1.1545249415770003
all,naive_no_change,40,2010Q2,2011Q2,gdp_deflator,4,-0.687111627001,0.4721223879599614,0.687111627001
all,naive_no_change,40,2010Q2,2011Q2,unemployment_rate,4,0.5666666666660003,0.3211111111103559,0.5666666666660003
all,naive_no_change,40,2010Q2,2011Q2,effective_federal_funds_rate,4,0.09859375,0.009720727539062498,0.09859375
all,naive_no_change,40,2010Q2,2011Q2,nominal_gdp,4,0.4640873459149999,0.21537706463842876,0.4640873459149999
all,naive_no_change,40,2010Q2,2012Q2,real_gdp,8,2.070373422515,4.286446108656475,2.070373422515
all,naive_no_change,40,2010Q2,2012Q2,gdp_deflator,8,0.3014614208169999,0.0908789882410043,0.3014614208169999
all,naive_no_change,40,2010Q2,2012Q2,unemployment_rate,8,1.4333333333330014,2.054444444443493,1.4333333333330014
all,naive_no_change,40,2010Q2,2012Q2,effective_federal_funds_rate,8,0.03734374999999998,0.0013945556640624986,0.03734374999999998
all,naive_no_change,40,2010Q2,2012Q2,nominal_gdp,8,2.370092915729,5.617340429188792,2.370092915729
all,naive_no_change,40,2010Q2,2013Q2,real_gdp,12,2.782624622989,7.742999792464675,2.782624622989
all,naive_no_change,40,2010Q2,2013Q2,gdp_deflator,12,1.088968223397,1.1858517915684184,1.088968223397
all,naive_no_change,40,2010Q2,2013Q2,unemployment_rate,12,2.1000000000000005,4.410000000000002,2.1000000000000005
all,naive_no_change,40,2010Q2,2013Q2,effective_federal_funds_rate,12,0.07484374999999999,0.005601586914062498,0.07484374999999999
all,naive_no_change,40,2010Q2,2013Q2,nominal_gdp,12,3.8688689651839994,14.96814706976391,3.8688689651839994
all,naive_drift,40,2010Q2,2010Q3,real_gdp,1,0.867544109800872,0.7526327824501875,0.867544109800872
all,naive_drift,40,2010Q2,2010Q3,gdp_deflator,1,0.725511662273872,0.5263671720953969,0.725511662273872
all,naive_drift,40,2010Q2,2010Q3,unemployment_rate,1,0.311111111110435,0.09679012345636942,0.311111111110435
all,naive_drift,40,2010Q2,2010Q3,effective_federal_funds_rate,1,-0.15860233516484618,0.025154700719742202,0.15860233516484618
all,naive_drift,40,2010Q2,2010Q3,nominal_gdp,1,1.5897060094172302,2.5271651963772546,1.5897060094172302
all,naive_drift,40,2010Q2,2010Q4,real_gdp,2,1.933420996778744,3.738116750784912,1.933420996778744
all,naive_drift,40,2010Q2,2010Q4,gdp_deflator,2,-0.38557231476025633,0.14866600990958218,0.38557231476025633
all,naive_drift,40,2010Q2,2010Q4,unemployment_rate,2,0.42222222222187256,0.17827160493797634,0.42222222222187256
all,naive_drift,40,2010Q2,2010Q4,effective_federal_funds_rate,2,-0.3215697496946923,0.10340710391870707,0.3215697496946923
all,naive_drift,40,2010Q2,2010Q4,nominal_gdp,2,1.5449392837214617,2.386837390385783,1.5449392837214617
all,naive_drift,40,2010Q2,2011Q2,real_gdp,4,1.5077779926084873,2.27339447499448,1.5077779926084873
all,naive_drift,40,2010Q2,2011Q2,gdp_deflator,4,-0.7263267853575128,0.5275505991277785,0.7263267853575128
all,naive_drift,40,2010Q2,2011Q2,unemployment_rate,4,1.144444444443744,1.30975308641815,1.144444444443744
all,naive_drift,40,2010Q2,2011Q2,effective_federal_funds_rate,4,-0.5495655906593846,0.30202233843679827,0.5495655906593846
