sample_track,model_id,target_id,horizon,observation_count,rmse,mae
abm_all_available_common_cells,naive_historical_mean,unemployment_rate,1,61,2.1190346203961465,1.848017654176237
abm_all_available_common_cells,naive_historical_mean,unemployment_rate,2,60,2.1112362813786274,1.8453934562530494
abm_all_available_common_cells,naive_historical_mean,unemployment_rate,4,58,2.0953820579328815,1.8398879166371922
abm_all_available_common_cells,naive_historical_mean,unemployment_rate,8,54,2.0862804661223806,1.8291929788276944
abm_all_available_common_cells,naive_historical_mean,unemployment_rate,12,50,2.120926238088534,1.850442225941519
abm_all_available_common_cells,naive_historical_mean,effective_federal_funds_rate,1,61,1.9875071439387675,1.756372959541968
abm_all_available_common_cells,naive_historical_mean,effective_federal_funds_rate,2,60,2.0069841610660784,1.7703279589100864
abm_all_available_common_cells,naive_historical_mean,effective_federal_funds_rate,4,58,2.0424831426792314,1.7944233161293832
abm_all_available_common_cells,naive_historical_mean,effective_federal_funds_rate,8,54,2.084553115932132,1.8187622908354797
abm_all_available_common_cells,naive_historical_mean,effective_federal_funds_rate,12,50,2.098930903163602,1.8216411398679702
abm_all_available_common_cells,univariate_ar_p1_constant,real_gdp,1,61,9.04664670024397,3.297864119656172
abm_all_available_common_cells,univariate_ar_p1_constant,real_gdp,2,60,7.371783480774824,3.0576247452102137
abm_all_available_common_cells,univariate_ar_p1_constant,real_gdp,4,58,7.186585500067501,3.044728562147678
abm_all_available_common_cells,univariate_ar_p1_constant,real_gdp,8,54,6.714934650945641,2.9682740461143
abm_all_available_common_cells,univariate_ar_p1_constant,real_gdp,12,50,6.865110779820829,3.069025939172327
abm_all_available_common_cells,univariate_ar_p1_constant,gdp_deflator,1,61,1.4256884513530748,1.0889303830025845
abm_all_available_common_cells,univariate_ar_p1_constant,gdp_deflator,2,60,1.6515783827672563,1.0960483601632065
abm_all_available_common_cells,univariate_ar_p1_constant,gdp_deflator,4,58,1.9408321806583608,1.2430348913064295
abm_all_available_common_cells,univariate_ar_p1_constant,gdp_deflator,8,54,2.031877284482296,1.3000623983992636
abm_all_available_common_cells,univariate_ar_p1_constant,gdp_deflator,12,50,2.10136444711278,1.379642755349462
abm_all_available_common_cells,univariate_ar_p1_constant,nominal_gdp,1,61,10.100219866779002,4.012468337238543
abm_all_available_common_cells,univariate_ar_p1_constant,nominal_gdp,2,60,8.418205641591438,3.790737360269346
abm_all_available_common_cells,univariate_ar_p1_constant,nominal_gdp,4,58,8.497505757828987,3.7767276860574563
abm_all_available_common_cells,univariate_ar_p1_constant,nominal_gdp,8,54,8.124923376616069,3.8426207447456315
abm_all_available_common_cells,univariate_ar_p1_constant,nominal_gdp,12,50,7.93245602336929,3.9526654810563557
abm_all_available_common_cells,univariate_ar_p1_constant,unemployment_rate,1,61,1.323078696356275,0.5032006918921575
abm_all_available_common_cells,univariate_ar_p1_constant,unemployment_rate,2,60,1.6594531969584303,0.8598785083770063
abm_all_available_common_cells,univariate_ar_p1_constant,unemployment_rate,4,58,1.9849315172703754,1.3859234406369667
abm_all_available_common_cells,univariate_ar_p1_constant,unemployment_rate,8,54,2.510435978491332,2.089230419463346
abm_all_available_common_cells,univariate_ar_p1_constant,unemployment_rate,12,50,2.9408328439303117,2.500153734626356
abm_all_available_common_cells,univariate_ar_p1_constant,effective_federal_funds_rate,1,61,0.3955055967220294,0.2127611173610828
