sample_track,model_id,target_id,horizon,observation_count,mean_crps
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,2,60,0.3483269664889343
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,8,54,1.1772606619495432
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,8,54,2.906080532521478
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,12,50,1.451020574319566
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,2,60,0.8684473523326883
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,4,58,2.2419411552005593
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,8,54,1.3301174979801598
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,1,61,1.668440079551798
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,2,60,2.5443779969850846
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,1,61,0.17689201641031493
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,4,58,0.9870110343387322
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,1,61,2.153833086708651
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,8,54,1.0611052859932208
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,12,50,1.1125031873480327
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,4,58,1.4510144687701918
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,2,60,1.5791692741420984
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,1,61,2.4656527977285365
abm_all_available_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,4,58,0.6705752659717172
abm_all_available_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,1,61,0.8134631679933568
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,12,50,3.038297034731355
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,8,54,2.3370285566289595
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,12,50,2.391119805873308
abm_all_available_common_cells,beforeit_abm_us_v3_mean,unemployment_rate,12,50,1.4283418614618963
abm_all_available_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,4,58,2.6902929980665005
abm_all_available_common_cells,beforeit_abm_us_v3_mean,real_gdp,2,60,2.20091397551093
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,2,50,0.3358805051953179
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,8,50,1.2352454419883656
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,nominal_gdp,8,50,3.0147401511955754
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,effective_federal_funds_rate,12,50,1.451020574319566
abm_balanced_h12_common_cells,beforeit_abm_us_v3_mean,gdp_deflator,2,50,0.9464308500832711
