cell_index,transaction,activity,product,counterpart_area,sector,accounting_entry,recipient_type,transaction_axis_role,activity_axis_role,product_axis_role,unit_measure,unit_mult,currency,decimals,obs_status,purchasers_present,purchasers_value_hundredths_million_usd,purchasers_obs_status,basic_present,basic_value_hundredths_million_usd,basic_obs_status,combined_margin_present,combined_margin_value_hundredths_million_usd,combined_margin_obs_status,net_product_tax_present,net_product_tax_value_hundredths_million_usd,net_product_tax_obs_status,gross_product_tax_present,gross_product_tax_value_hundredths_million_usd,gross_product_tax_obs_status,subsidy_magnitude_present,subsidy_magnitude_value_hundredths_million_usd,subsidy_magnitude_obs_status
1,P2,A,CPA08_A,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,18601285,A,1,15961051,A,1,2727777,A,1,-87543,A,1,54713,A,1,142255,A
2,P2,A,CPA08_A01,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,17660521,A,1,15180615,A,1,2569467,A,1,-89561,A,1,52694,A,1,142255,A
3,P2,A,CPA08_A02,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,937970,A,1,778189,A,1,157771,A,1,2010,A,1,2010,A,0,,
4,P2,A,CPA08_A03,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,2794,A,1,2247,A,1,539,A,1,8,A,1,8,A,0,,
5,P2,A,CPA08_B,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,198468,A,1,131449,A,1,59572,A,1,7447,A,1,7447,A,0,,
6,P2,A,CPA08_B05,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,44170,A,1,27206,A,1,14366,A,1,2598,A,1,2598,A,0,,
7,P2,A,CPA08_B08,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,154298,A,1,104243,A,1,45206,A,1,4849,A,1,4849,A,0,,
8,P2,A,CPA08_C,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,13278200,A,1,9268588,A,1,3680919,A,1,328694,A,1,328875,A,1,181,A
9,P2,A,CPA08_C10,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,5933285,A,1,4164287,A,1,1705954,A,1,63044,A,1,63044,A,0,,
10,P2,A,CPA08_C10T12,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,6073449,A,1,4252136,A,1,1756593,A,1,64719,A,1,64719,A,0,,
11,P2,A,CPA08_C11,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,140164,A,1,87850,A,1,50639,A,1,1675,A,1,1675,A,0,,
12,P2,A,CPA08_C13,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,1861,A,1,1258,A,1,514,A,1,89,A,1,89,A,0,,
13,P2,A,CPA08_C13T15,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,7643,A,1,4516,A,1,2784,A,1,342,A,1,342,A,0,,
14,P2,A,CPA08_C15,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,5782,A,1,3258,A,1,2270,A,1,253,A,1,253,A,0,,
15,P2,A,CPA08_C16,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,128985,A,1,100754,A,1,26997,A,1,1234,A,1,1234,A,0,,
16,P2,A,CPA08_C17,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,77878,A,1,62540,A,1,13861,A,1,1477,A,1,1477,A,0,,
17,P2,A,CPA08_C18,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,1273,A,1,1199,A,1,74,A,1,0,A,1,0,A,0,,
18,P2,A,CPA08_C19,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,1120457,A,1,705220,A,1,269814,A,1,145423,A,1,145423,A,0,,
19,P2,A,CPA08_C20,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,4002771,A,1,2780870,A,1,1169726,A,1,52175,A,1,52175,A,0,,
20,P2,A,CPA08_C21,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,197501,A,1,141661,A,1,55360,A,1,480,A,1,661,A,1,181,A
21,P2,A,CPA08_C22,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,268391,A,1,204327,A,1,56887,A,1,7177,A,1,7177,A,0,,
22,P2,A,CPA08_C23,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,13570,A,1,10816,A,1,2605,A,1,149,A,1,149,A,0,,
23,P2,A,CPA08_C24,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,9894,A,1,8614,A,1,875,A,1,405,A,1,405,A,0,,
24,P2,A,CPA08_C25,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,221124,A,1,168082,A,1,44102,A,1,8941,A,1,8941,A,0,,
25,P2,A,CPA08_C26,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,4139,A,1,3331,A,1,772,A,1,36,A,1,36,A,0,,
26,P2,A,CPA08_C27,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,572386,A,1,418253,A,1,126412,A,1,27721,A,1,27722,A,1,0,A
27,P2,A,CPA08_C28,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,405460,A,1,265632,A,1,124372,A,1,15455,A,1,15455,A,0,,
28,P2,A,CPA08_C29,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,156393,A,1,127616,A,1,26017,A,1,2760,A,1,2760,A,0,,
29,P2,A,CPA08_C30,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,117,A,1,113,A,1,4,A,1,0,A,1,0,A,0,,
30,P2,A,CPA08_C31_32,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,11484,A,1,7750,A,1,3666,A,1,68,A,1,68,A,0,,
31,P2,A,CPA08_C32,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,11484,A,1,7750,A,1,3666,A,1,68,A,1,68,A,0,,
32,P2,A,CPA08_C33,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,5286,A,1,5155,A,0,,,1,131,A,1,131,A,0,,
33,P2,A,CPA08_D,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,564371,A,1,530636,A,0,,,1,33735,A,1,33735,A,0,,
34,P2,A,CPA08_E,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,669665,A,1,653145,A,0,,,1,16520,A,1,16520,A,0,,
35,P2,A,CPA08_E36,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,651979,A,1,635759,A,0,,,1,16221,A,1,16221,A,0,,
36,P2,A,CPA08_E37,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,621,A,1,589,A,0,,,1,32,A,1,32,A,0,,
37,P2,A,CPA08_E37T39,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,17686,A,1,17386,A,0,,,1,300,A,1,300,A,0,,
38,P2,A,CPA08_E38,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,16453,A,1,16199,A,0,,,1,254,A,1,254,A,0,,
39,P2,A,CPA08_E39,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,612,A,1,598,A,0,,,1,14,A,1,14,A,0,,
40,P2,A,CPA08_F,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,216003,A,1,215297,A,0,,,1,707,A,1,707,A,0,,
41,P2,A,CPA08_F41,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,215913,A,1,215206,A,0,,,1,707,A,1,707,A,0,,
42,P2,A,CPA08_F42,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,91,A,1,90,A,0,,,1,0,A,1,0,A,0,,
43,P2,A,CPA08_G,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,145397,A,1,4962196,A,1,-4817416,A,1,617,A,1,617,A,0,,
44,P2,A,CPA08_G45,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,13463,A,1,76002,A,1,-63156,A,1,617,A,1,617,A,0,,
45,P2,A,CPA08_G46,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,131934,A,1,4734598,A,1,-4602663,A,0,,,0,,,0,,
46,P2,A,CPA08_G47,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,0,,,1,151596,A,1,-151596,A,0,,,0,,,0,,
47,P2,A,CPA08_H,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,138639,A,1,1813286,A,1,-1662952,A,1,-11695,A,1,843,A,1,12538,A
48,P2,A,CPA08_H49,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,18979,A,1,1567336,A,1,-1535918,A,1,-12439,A,1,64,A,1,12503,A
49,P2,A,CPA08_H50,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,0,A,1,104978,A,1,-104972,A,1,-7,A,0,,,1,7,A
50,P2,A,CPA08_H51,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,0,A,1,22091,A,1,-22062,A,1,-29,A,0,,,1,29,A
51,P2,A,CPA08_H52,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,118412,A,1,117632,A,0,,,1,779,A,1,779,A,0,,
52,P2,A,CPA08_H53,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,1248,A,1,1248,A,0,,,0,,,0,,,0,,
53,P2,A,CPA08_I,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,55714,A,1,51486,A,0,,,1,4229,A,1,4229,A,0,,
54,P2,A,CPA08_I55,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,158,A,1,143,A,0,,,1,15,A,1,15,A,0,,
55,P2,A,CPA08_I56,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,55557,A,1,51343,A,0,,,1,4213,A,1,4213,A,0,,
56,P2,A,CPA08_J,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,109954,A,1,107241,A,1,198,A,1,2516,A,1,2516,A,0,,
57,P2,A,CPA08_J58,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,10894,A,1,10661,A,1,198,A,1,36,A,1,36,A,0,,
58,P2,A,CPA08_J61,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,43082,A,1,41373,A,0,,,1,1709,A,1,1709,A,0,,
59,P2,A,CPA08_J62,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,55963,A,1,55191,A,0,,,1,771,A,1,771,A,0,,
60,P2,A,CPA08_J62_63,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,55978,A,1,55206,A,0,,,1,771,A,1,771,A,0,,
61,P2,A,CPA08_J63,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,15,A,1,15,A,0,,,1,0,A,1,0,A,0,,
62,P2,A,CPA08_K,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,1168740,A,1,1848372,A,0,,,1,-679632,A,1,5262,A,1,684894,A
63,P2,A,CPA08_K64,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,685477,A,1,685632,A,0,,,1,-156,A,1,13,A,1,169,A
64,P2,A,CPA08_K65,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,379112,A,1,1058589,A,0,,,1,-679476,A,1,5249,A,1,684725,A
65,P2,A,CPA08_K66,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,104151,A,1,104151,A,0,,,0,,,0,,,0,,
66,P2,A,CPA08_L,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,307112,A,1,304859,A,0,,,1,2254,A,1,2452,A,1,198,A
67,P2,A,CPA08_L68A,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,107217,A,1,107310,A,0,,,1,-92,A,0,,,1,92,A
68,P2,A,CPA08_L68B,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,199895,A,1,197549,A,0,,,1,2346,A,1,2452,A,1,106,A
69,P2,A,CPA08_M,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,410212,A,1,406661,A,0,,,1,3551,A,1,3551,A,0,,
70,P2,A,CPA08_M69,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,206067,A,1,202747,A,0,,,1,3320,A,1,3320,A,0,,
71,P2,A,CPA08_M69_70,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,206298,A,1,202978,A,0,,,1,3320,A,1,3320,A,0,,
72,P2,A,CPA08_M70,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,231,A,1,231,A,0,,,1,1,A,1,1,A,0,,
73,P2,A,CPA08_M71,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,30426,A,1,30230,A,0,,,1,196,A,1,196,A,0,,
74,P2,A,CPA08_M72,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,270,A,1,269,A,0,,,1,2,A,1,2,A,0,,
75,P2,A,CPA08_M73,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,975,A,1,969,A,0,,,1,7,A,1,7,A,0,,
76,P2,A,CPA08_M74,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,26410,A,1,26383,A,0,,,1,26,A,1,26,A,0,,
77,P2,A,CPA08_M74_75,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,172241,A,1,172215,A,0,,,1,26,A,1,26,A,0,,
78,P2,A,CPA08_M75,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,145832,A,1,145832,A,0,,,0,,,0,,,0,,
79,P2,A,CPA08_N,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,363548,A,1,341322,A,0,,,1,22226,A,1,22226,A,0,,
80,P2,A,CPA08_N77,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,313974,A,1,292398,A,0,,,1,21576,A,1,21576,A,0,,
81,P2,A,CPA08_N78,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,1261,A,1,1257,A,0,,,1,4,A,1,4,A,0,,
82,P2,A,CPA08_N79,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,2735,A,1,2724,A,0,,,1,10,A,1,10,A,0,,
83,P2,A,CPA08_N80T82,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,45578,A,1,44942,A,0,,,1,636,A,1,636,A,0,,
84,P2,A,CPA08_N81,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,43393,A,1,42781,A,0,,,1,612,A,1,612,A,0,,
85,P2,A,CPA08_N82,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,2185,A,1,2160,A,0,,,1,25,A,1,25,A,0,,
86,P2,A,CPA08_P,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,223,A,1,223,A,0,,,0,,,0,,,0,,
87,P2,A,CPA08_R,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,27071,A,1,24821,A,0,,,1,2250,A,1,2250,A,0,,
88,P2,A,CPA08_R90,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,7204,A,1,6981,A,0,,,1,224,A,1,224,A,0,,
89,P2,A,CPA08_R90T92,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,7204,A,1,6981,A,0,,,1,224,A,1,224,A,0,,
90,P2,A,CPA08_R93,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,19867,A,1,17841,A,0,,,1,2026,A,1,2026,A,0,,
91,P2,A,CPA08_S,D,S1,D,industry_intermediate_use,leaf,aggregate,aggregate,XDC,6,USD,2,A,1,26625,A,1,26102,A,0,,,1,523,A,1,523,A,0,,
92,P2,A,CPA08_S94,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,13897,A,1,13897,A,0,,,0,,,0,,,0,,
93,P2,A,CPA08_S95,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,11897,A,1,11423,A,0,,,1,474,A,1,474,A,0,,
94,P2,A,CPA08_S96,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,831,A,1,782,A,0,,,1,49,A,1,49,A,0,,
95,P2,A,_T,D,S1,D,industry_intermediate_use,leaf,aggregate,published_total,XDC,6,USD,2,A,1,36415826,A,1,36769328,A,1,0,A,1,-353502,A,1,486565,A,1,840067,A
96,P2,A,_X,D,S1,D,industry_intermediate_use,leaf,aggregate,leaf,XDC,6,USD,2,A,1,134597,A,1,122596,A,1,11903,A,1,99,A,1,99,A,0,,
97,P2,A01,CPA08_A,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,17656558,A,1,15176016,A,1,2570091,A,1,-89548,A,1,52707,A,1,142255,A
98,P2,A01,CPA08_A01,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,17653449,A,1,15173542,A,1,2569467,A,1,-89561,A,1,52694,A,1,142255,A
99,P2,A01,CPA08_A02,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,316,A,1,226,A,1,85,A,1,5,A,1,5,A,0,,
100,P2,A01,CPA08_A03,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,2794,A,1,2247,A,1,539,A,1,8,A,1,8,A,0,,
101,P2,A01,CPA08_B,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,198447,A,1,131437,A,1,59564,A,1,7446,A,1,7446,A,0,,
102,P2,A01,CPA08_B05,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,44149,A,1,27194,A,1,14358,A,1,2597,A,1,2597,A,0,,
103,P2,A01,CPA08_B08,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,154298,A,1,104243,A,1,45206,A,1,4849,A,1,4849,A,0,,
104,P2,A01,CPA08_C,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,13219584,A,1,9226345,A,1,3670054,A,1,323184,A,1,323366,A,1,181,A
105,P2,A01,CPA08_C10,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,5933285,A,1,4164287,A,1,1705954,A,1,63044,A,1,63044,A,0,,
106,P2,A01,CPA08_C10T12,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,6073449,A,1,4252136,A,1,1756593,A,1,64719,A,1,64719,A,0,,
107,P2,A01,CPA08_C11,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,140164,A,1,87850,A,1,50639,A,1,1675,A,1,1675,A,0,,
108,P2,A01,CPA08_C13,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,1506,A,1,1024,A,1,423,A,1,59,A,1,59,A,0,,
109,P2,A01,CPA08_C13T15,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,7287,A,1,4282,A,1,2693,A,1,313,A,1,313,A,0,,
110,P2,A01,CPA08_C15,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,5782,A,1,3258,A,1,2270,A,1,253,A,1,253,A,0,,
111,P2,A01,CPA08_C16,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,122048,A,1,95032,A,1,25883,A,1,1132,A,1,1132,A,0,,
112,P2,A01,CPA08_C17,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,77878,A,1,62540,A,1,13861,A,1,1477,A,1,1477,A,0,,
113,P2,A01,CPA08_C18,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,1273,A,1,1199,A,1,74,A,1,0,A,1,0,A,0,,
114,P2,A01,CPA08_C19,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,1101054,A,1,692674,A,1,267403,A,1,140977,A,1,140977,A,0,,
115,P2,A01,CPA08_C20,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,4002771,A,1,2780870,A,1,1169726,A,1,52175,A,1,52175,A,0,,
116,P2,A01,CPA08_C21,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,197501,A,1,141661,A,1,55360,A,1,480,A,1,661,A,1,181,A
117,P2,A01,CPA08_C22,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,265395,A,1,202898,A,1,55550,A,1,6947,A,1,6947,A,0,,
118,P2,A01,CPA08_C23,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,6030,A,1,5130,A,1,851,A,1,49,A,1,49,A,0,,
119,P2,A01,CPA08_C24,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,9894,A,1,8614,A,1,875,A,1,405,A,1,405,A,0,,
120,P2,A01,CPA08_C25,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,206541,A,1,157348,A,1,40729,A,1,8464,A,1,8464,A,0,,
121,P2,A01,CPA08_C26,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,4139,A,1,3331,A,1,772,A,1,36,A,1,36,A,0,,
122,P2,A01,CPA08_C27,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,572364,A,1,418236,A,1,126407,A,1,27721,A,1,27721,A,0,,
123,P2,A01,CPA08_C28,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,405460,A,1,265632,A,1,124372,A,1,15455,A,1,15455,A,0,,
124,P2,A01,CPA08_C29,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,151728,A,1,123803,A,1,25241,A,1,2685,A,1,2685,A,0,,
125,P2,A01,CPA08_C31_32,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,11484,A,1,7750,A,1,3666,A,1,68,A,1,68,A,0,,
126,P2,A01,CPA08_C32,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,11484,A,1,7750,A,1,3666,A,1,68,A,1,68,A,0,,
127,P2,A01,CPA08_C33,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,3288,A,1,3206,A,0,,,1,81,A,1,81,A,0,,
128,P2,A01,CPA08_D,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,562777,A,1,529134,A,0,,,1,33643,A,1,33643,A,0,,
129,P2,A01,CPA08_E,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,669587,A,1,653067,A,0,,,1,16519,A,1,16519,A,0,,
130,P2,A01,CPA08_E36,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,651917,A,1,635697,A,0,,,1,16220,A,1,16220,A,0,,
131,P2,A01,CPA08_E37,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,616,A,1,584,A,0,,,1,31,A,1,31,A,0,,
132,P2,A01,CPA08_E37T39,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,17670,A,1,17370,A,0,,,1,299,A,1,299,A,0,,
133,P2,A01,CPA08_E38,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,16442,A,1,16187,A,0,,,1,254,A,1,254,A,0,,
134,P2,A01,CPA08_E39,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,612,A,1,598,A,0,,,1,14,A,1,14,A,0,,
135,P2,A01,CPA08_F,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,215279,A,1,214576,A,0,,,1,703,A,1,703,A,0,,
136,P2,A01,CPA08_F41,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,215189,A,1,214485,A,0,,,1,703,A,1,703,A,0,,
137,P2,A01,CPA08_F42,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,91,A,1,90,A,0,,,1,0,A,1,0,A,0,,
138,P2,A01,CPA08_G,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,144310,A,1,4840001,A,1,-4696266,A,1,574,A,1,574,A,0,,
139,P2,A01,CPA08_G45,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,12499,A,1,74231,A,1,-62306,A,1,574,A,1,574,A,0,,
140,P2,A01,CPA08_G46,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,131811,A,1,4615296,A,1,-4483485,A,0,,,0,,,0,,
141,P2,A01,CPA08_G47,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,0,,,1,150475,A,1,-150475,A,0,,,0,,,0,,
142,P2,A01,CPA08_H,D,S1,D,industry_intermediate_use,leaf,leaf,aggregate,XDC,6,USD,2,A,1,135127,A,1,1762319,A,1,-1615543,A,1,-11650,A,1,835,A,1,12485,A
143,P2,A01,CPA08_H49,D,S1,D,industry_intermediate_use,leaf,leaf,leaf,XDC,6,USD,2,A,1,18979,A,1,1521432,A,1,-1490065,A,1,-12388,A,1,64,A,1,12451,A
