idx,code,supply,imports,uses_before,uses_after,delta,delta_pct,gap_before_pct,gap_after_pct
1,111CA,440876.788773,40780.532527,502613.494095,440876.788773,-61736.705323,-12.283137,14.003165,0.000000
2,113FF,70357.326353,17746.349545,87184.840531,70357.326353,-16827.514178,-19.300963,23.917217,0.000000
3,211,388932.714721,145284.611021,414350.298374,388932.714721,-25417.583653,-6.134323,6.535214,0.000000
4,212,102970.249426,5067.837367,103972.552444,102970.249426,-1002.303018,-0.964007,0.973391,0.000000
5,213,106489.235169,1038.540000,130340.585847,106489.235169,-23851.350678,-18.299251,22.397898,0.000000
6,22,442747.529639,2409.056050,584739.262292,442747.529639,-141991.732653,-24.282914,32.070587,0.000000
7,23,1551298.291785,0.000000,1809324.225437,1551298.291785,-258025.933652,-14.260901,16.632903,0.000000
8,311FT,1005402.259312,90619.551831,1072123.894674,1005402.259312,-66721.635362,-6.223314,6.636312,0.000000
9,313TT,78471.476555,29729.198479,78523.966577,78471.476555,-52.490021,-0.066846,0.066891,0.000000
10,315AL,138271.707311,122896.542619,140149.923030,138271.707311,-1878.215719,-1.340148,1.358351,0.000000
11,321,127505.673254,20852.059813,145302.972518,127505.673254,-17797.299264,-12.248407,13.958045,0.000000
12,322,204170.942289,22233.476569,215345.178228,204170.942289,-11174.235939,-5.188988,5.472981,0.000000
13,323,85267.655823,2575.539562,67266.115392,85267.655823,18001.540431,26.761677,-21.111804,0.000000
14,324,578372.990127,52136.095373,615980.679111,578372.990127,-37607.688984,-6.105336,6.502325,0.000000
15,325,1001553.183859,234889.406210,1019853.081822,1001553.183859,-18299.897964,-1.794366,1.827152,0.000000
16,326,283203.777666,49686.409418,294362.804461,283203.777666,-11159.026795,-3.790909,3.940282,0.000000
17,327,150128.156980,24730.729241,174636.159570,150128.156980,-24508.002590,-14.033750,16.324721,0.000000
18,331,299857.046056,78949.850454,338335.722767,299857.046056,-38478.676711,-11.372928,12.832340,0.000000
19,332,405392.356594,63084.368199,434979.536775,405392.356594,-29587.180181,-6.801971,7.298406,0.000000
20,333,529483.157400,156123.876786,581643.767913,529483.157400,-52160.610513,-8.967793,9.851231,0.000000
21,334,678493.363203,326707.044739,664669.449146,678493.363203,13823.914057,2.079818,-2.037443,0.000000
22,335,220663.810781,97626.723912,237798.293994,220663.810781,-17134.483213,-7.205469,7.764972,0.000000
23,3361MV,904030.651395,318865.473154,945648.340198,904030.651395,-41617.688803,-4.400969,4.603571,0.000000
24,3364OT,380950.009556,48550.754036,407425.469698,380950.009556,-26475.460141,-6.498234,6.949852,0.000000
25,337,118044.752357,43063.734970,124126.861671,118044.752357,-6082.109314,-4.899914,5.152376,0.000000
26,339,249536.131279,92642.128300,247683.006724,249536.131279,1853.124554,0.748184,-0.742628,0.000000
27,42,1831457.360118,0.000000,1309329.274458,1831457.360118,522128.085660,39.877523,-28.508886,0.000000
28,481,254551.207394,45032.798883,259271.468262,254551.207394,-4720.260868,-1.820586,1.854346,0.000000
29,482,79669.877801,0.000000,69605.445043,79669.877801,10064.432758,14.459261,-12.632670,0.000000
30,483,53319.953746,0.000000,40936.069099,53319.953746,12383.884646,30.251768,-23.225610,0.000000
31,484,360432.642804,0.000000,282257.214779,360432.642804,78175.428025,27.696521,-21.689331,0.000000
32,485,76407.574826,0.000000,96245.127006,76407.574826,-19837.552180,-20.611487,25.962808,0.000000
