check_id,seasonal_adjustment_code,m3_series_code,reference_period,total_series_id,materials_series_id,work_in_process_series_id,finished_goods_series_id,total_millions,materials_millions,work_in_process_millions,finished_goods_millions,residual_millions,status
A11S_1992-01,A,11S,1992-01,A11STI,A11SMI,A11SWI,A11SFI,25599,8923,2100,14576,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-02,A,11S,1992-02,A11STI,A11SMI,A11SWI,A11SFI,25763,9164,2203,14396,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-03,A,11S,1992-03,A11STI,A11SMI,A11SWI,A11SFI,25742,9200,2073,14469,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-04,A,11S,1992-04,A11STI,A11SMI,A11SWI,A11SFI,25561,9252,2071,14238,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-05,A,11S,1992-05,A11STI,A11SMI,A11SWI,A11SFI,25859,9331,2091,14437,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-06,A,11S,1992-06,A11STI,A11SMI,A11SWI,A11SFI,25882,9204,2054,14624,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-07,A,11S,1992-07,A11STI,A11SMI,A11SWI,A11SFI,26077,9278,2082,14717,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-08,A,11S,1992-08,A11STI,A11SMI,A11SWI,A11SFI,26374,9278,2145,14951,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-09,A,11S,1992-09,A11STI,A11SMI,A11SWI,A11SFI,26202,9173,2072,14957,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-10,A,11S,1992-10,A11STI,A11SMI,A11SWI,A11SFI,26390,9226,2148,15016,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-11,A,11S,1992-11,A11STI,A11SMI,A11SWI,A11SFI,26407,9308,2199,14900,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1992-12,A,11S,1992-12,A11STI,A11SMI,A11SWI,A11SFI,26448,9298,2202,14948,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-01,A,11S,1993-01,A11STI,A11SMI,A11SWI,A11SFI,26484,9476,2167,14841,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-02,A,11S,1993-02,A11STI,A11SMI,A11SWI,A11SFI,26389,9362,2245,14782,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-03,A,11S,1993-03,A11STI,A11SMI,A11SWI,A11SFI,26136,9250,2235,14651,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-04,A,11S,1993-04,A11STI,A11SMI,A11SWI,A11SFI,26358,9429,2249,14680,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-05,A,11S,1993-05,A11STI,A11SMI,A11SWI,A11SFI,26360,9423,2271,14666,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-06,A,11S,1993-06,A11STI,A11SMI,A11SWI,A11SFI,26517,9613,2254,14650,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-07,A,11S,1993-07,A11STI,A11SMI,A11SWI,A11SFI,26526,9514,2299,14713,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-08,A,11S,1993-08,A11STI,A11SMI,A11SWI,A11SFI,26397,9451,2288,14658,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-09,A,11S,1993-09,A11STI,A11SMI,A11SWI,A11SFI,26170,9272,2271,14627,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-10,A,11S,1993-10,A11STI,A11SMI,A11SWI,A11SFI,26169,9284,2261,14624,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-11,A,11S,1993-11,A11STI,A11SMI,A11SWI,A11SFI,26390,9339,2357,14694,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1993-12,A,11S,1993-12,A11STI,A11SMI,A11SWI,A11SFI,26590,9496,2380,14714,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-01,A,11S,1994-01,A11STI,A11SMI,A11SWI,A11SFI,26844,9661,2435,14748,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-02,A,11S,1994-02,A11STI,A11SMI,A11SWI,A11SFI,26685,9490,2424,14771,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-03,A,11S,1994-03,A11STI,A11SMI,A11SWI,A11SFI,26935,9637,2483,14815,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-04,A,11S,1994-04,A11STI,A11SMI,A11SWI,A11SFI,27084,9681,2474,14929,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-05,A,11S,1994-05,A11STI,A11SMI,A11SWI,A11SFI,27308,9734,2486,15088,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-06,A,11S,1994-06,A11STI,A11SMI,A11SWI,A11SFI,27059,9693,2506,14860,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-07,A,11S,1994-07,A11STI,A11SMI,A11SWI,A11SFI,27535,9701,2538,15296,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-08,A,11S,1994-08,A11STI,A11SMI,A11SWI,A11SFI,27646,9766,2403,15477,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-09,A,11S,1994-09,A11STI,A11SMI,A11SWI,A11SFI,27596,9896,2501,15199,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-10,A,11S,1994-10,A11STI,A11SMI,A11SWI,A11SFI,27581,9949,2480,15152,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-11,A,11S,1994-11,A11STI,A11SMI,A11SWI,A11SFI,27528,9920,2413,15195,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1994-12,A,11S,1994-12,A11STI,A11SMI,A11SWI,A11SFI,27557,9869,2483,15205,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-01,A,11S,1995-01,A11STI,A11SMI,A11SWI,A11SFI,27755,9853,2500,15402,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-02,A,11S,1995-02,A11STI,A11SMI,A11SWI,A11SFI,27656,9781,2321,15554,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-03,A,11S,1995-03,A11STI,A11SMI,A11SWI,A11SFI,27805,9813,2474,15518,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-04,A,11S,1995-04,A11STI,A11SMI,A11SWI,A11SFI,27674,9741,2487,15446,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-05,A,11S,1995-05,A11STI,A11SMI,A11SWI,A11SFI,27777,9800,2448,15529,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-06,A,11S,1995-06,A11STI,A11SMI,A11SWI,A11SFI,27902,9951,2510,15441,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-07,A,11S,1995-07,A11STI,A11SMI,A11SWI,A11SFI,27976,10075,2554,15347,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-08,A,11S,1995-08,A11STI,A11SMI,A11SWI,A11SFI,28140,10066,2573,15501,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-09,A,11S,1995-09,A11STI,A11SMI,A11SWI,A11SFI,28500,10226,2683,15591,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-10,A,11S,1995-10,A11STI,A11SMI,A11SWI,A11SFI,28732,10198,2684,15850,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-11,A,11S,1995-11,A11STI,A11SMI,A11SWI,A11SFI,28881,10319,2604,15958,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1995-12,A,11S,1995-12,A11STI,A11SMI,A11SWI,A11SFI,29187,10386,2700,16101,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-01,A,11S,1996-01,A11STI,A11SMI,A11SWI,A11SFI,29060,10332,2737,15991,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-02,A,11S,1996-02,A11STI,A11SMI,A11SWI,A11SFI,29130,10327,2732,16071,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-03,A,11S,1996-03,A11STI,A11SMI,A11SWI,A11SFI,29043,10236,2810,15997,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-04,A,11S,1996-04,A11STI,A11SMI,A11SWI,A11SFI,29493,10427,2872,16194,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-05,A,11S,1996-05,A11STI,A11SMI,A11SWI,A11SFI,29304,10349,2839,16116,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-06,A,11S,1996-06,A11STI,A11SMI,A11SWI,A11SFI,29245,10022,2958,16265,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-07,A,11S,1996-07,A11STI,A11SMI,A11SWI,A11SFI,29352,10161,2806,16385,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-08,A,11S,1996-08,A11STI,A11SMI,A11SWI,A11SFI,29328,10067,2931,16330,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-09,A,11S,1996-09,A11STI,A11SMI,A11SWI,A11SFI,29448,9965,2994,16489,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-10,A,11S,1996-10,A11STI,A11SMI,A11SWI,A11SFI,29165,10044,2920,16201,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-11,A,11S,1996-11,A11STI,A11SMI,A11SWI,A11SFI,29570,10164,2996,16410,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1996-12,A,11S,1996-12,A11STI,A11SMI,A11SWI,A11SFI,29557,10023,2921,16613,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-01,A,11S,1997-01,A11STI,A11SMI,A11SWI,A11SFI,29029,9954,2880,16195,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-02,A,11S,1997-02,A11STI,A11SMI,A11SWI,A11SFI,29181,10183,2943,16055,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-03,A,11S,1997-03,A11STI,A11SMI,A11SWI,A11SFI,29372,10146,2871,16355,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-04,A,11S,1997-04,A11STI,A11SMI,A11SWI,A11SFI,29448,10057,2898,16493,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-05,A,11S,1997-05,A11STI,A11SMI,A11SWI,A11SFI,29409,10055,2980,16374,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-06,A,11S,1997-06,A11STI,A11SMI,A11SWI,A11SFI,29600,10207,2921,16472,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-07,A,11S,1997-07,A11STI,A11SMI,A11SWI,A11SFI,29449,10148,2890,16411,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-08,A,11S,1997-08,A11STI,A11SMI,A11SWI,A11SFI,29454,10214,2922,16318,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-09,A,11S,1997-09,A11STI,A11SMI,A11SWI,A11SFI,29474,10405,2870,16199,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-10,A,11S,1997-10,A11STI,A11SMI,A11SWI,A11SFI,29671,10525,2921,16225,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-11,A,11S,1997-11,A11STI,A11SMI,A11SWI,A11SFI,29758,10374,2916,16468,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1997-12,A,11S,1997-12,A11STI,A11SMI,A11SWI,A11SFI,29905,10470,2830,16605,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-01,A,11S,1998-01,A11STI,A11SMI,A11SWI,A11SFI,30038,10399,2686,16953,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-02,A,11S,1998-02,A11STI,A11SMI,A11SWI,A11SFI,30089,10712,2652,16725,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-03,A,11S,1998-03,A11STI,A11SMI,A11SWI,A11SFI,29778,10580,2522,16676,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-04,A,11S,1998-04,A11STI,A11SMI,A11SWI,A11SFI,29663,10540,2558,16565,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-05,A,11S,1998-05,A11STI,A11SMI,A11SWI,A11SFI,29555,10386,2556,16613,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-06,A,11S,1998-06,A11STI,A11SMI,A11SWI,A11SFI,29527,10490,2502,16535,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-07,A,11S,1998-07,A11STI,A11SMI,A11SWI,A11SFI,29455,10531,2522,16402,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-08,A,11S,1998-08,A11STI,A11SMI,A11SWI,A11SFI,29233,10454,2557,16222,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-09,A,11S,1998-09,A11STI,A11SMI,A11SWI,A11SFI,29322,10377,2458,16487,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-10,A,11S,1998-10,A11STI,A11SMI,A11SWI,A11SFI,29265,10291,2442,16532,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-11,A,11S,1998-11,A11STI,A11SMI,A11SWI,A11SFI,29142,10231,2468,16443,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1998-12,A,11S,1998-12,A11STI,A11SMI,A11SWI,A11SFI,29215,10355,2473,16387,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-01,A,11S,1999-01,A11STI,A11SMI,A11SWI,A11SFI,29400,10560,2556,16284,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-02,A,11S,1999-02,A11STI,A11SMI,A11SWI,A11SFI,29272,10503,2575,16194,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-03,A,11S,1999-03,A11STI,A11SMI,A11SWI,A11SFI,29179,10475,2569,16135,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-04,A,11S,1999-04,A11STI,A11SMI,A11SWI,A11SFI,29308,10610,2534,16164,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-05,A,11S,1999-05,A11STI,A11SMI,A11SWI,A11SFI,29279,10711,2490,16078,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-06,A,11S,1999-06,A11STI,A11SMI,A11SWI,A11SFI,29273,10657,2518,16098,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-07,A,11S,1999-07,A11STI,A11SMI,A11SWI,A11SFI,29393,10585,2526,16282,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-08,A,11S,1999-08,A11STI,A11SMI,A11SWI,A11SFI,29385,10690,2482,16213,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-09,A,11S,1999-09,A11STI,A11SMI,A11SWI,A11SFI,29884,10466,2522,16896,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-10,A,11S,1999-10,A11STI,A11SMI,A11SWI,A11SFI,30185,10442,2537,17206,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-11,A,11S,1999-11,A11STI,A11SMI,A11SWI,A11SFI,30397,10674,2599,17124,0,PASS_EXACT_SOURCE_IDENTITY
A11S_1999-12,A,11S,1999-12,A11STI,A11SMI,A11SWI,A11SFI,30455,10855,2571,17029,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-01,A,11S,2000-01,A11STI,A11SMI,A11SWI,A11SFI,30791,10866,2569,17356,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-02,A,11S,2000-02,A11STI,A11SMI,A11SWI,A11SFI,31146,10834,2604,17708,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-03,A,11S,2000-03,A11STI,A11SMI,A11SWI,A11SFI,31485,10935,2693,17857,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-04,A,11S,2000-04,A11STI,A11SMI,A11SWI,A11SFI,31421,10855,2731,17835,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-05,A,11S,2000-05,A11STI,A11SMI,A11SWI,A11SFI,31615,10830,2798,17987,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-06,A,11S,2000-06,A11STI,A11SMI,A11SWI,A11SFI,31631,10835,2771,18025,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-07,A,11S,2000-07,A11STI,A11SMI,A11SWI,A11SFI,31622,10773,2762,18087,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-08,A,11S,2000-08,A11STI,A11SMI,A11SWI,A11SFI,31641,10807,2724,18110,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-09,A,11S,2000-09,A11STI,A11SMI,A11SWI,A11SFI,31474,10745,2676,18053,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-10,A,11S,2000-10,A11STI,A11SMI,A11SWI,A11SFI,31315,10707,2561,18047,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-11,A,11S,2000-11,A11STI,A11SMI,A11SWI,A11SFI,31395,10666,2617,18112,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2000-12,A,11S,2000-12,A11STI,A11SMI,A11SWI,A11SFI,31715,10671,2729,18315,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-01,A,11S,2001-01,A11STI,A11SMI,A11SWI,A11SFI,32864,10923,2701,19240,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-02,A,11S,2001-02,A11STI,A11SMI,A11SWI,A11SFI,31340,10381,2640,18319,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-03,A,11S,2001-03,A11STI,A11SMI,A11SWI,A11SFI,31357,10397,2610,18350,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-04,A,11S,2001-04,A11STI,A11SMI,A11SWI,A11SFI,31322,10461,2543,18318,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-05,A,11S,2001-05,A11STI,A11SMI,A11SWI,A11SFI,31326,10427,2524,18375,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-06,A,11S,2001-06,A11STI,A11SMI,A11SWI,A11SFI,31006,10269,2499,18238,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-07,A,11S,2001-07,A11STI,A11SMI,A11SWI,A11SFI,30990,10456,2390,18144,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-08,A,11S,2001-08,A11STI,A11SMI,A11SWI,A11SFI,30622,10068,2433,18121,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-09,A,11S,2001-09,A11STI,A11SMI,A11SWI,A11SFI,30517,10193,2496,17828,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-10,A,11S,2001-10,A11STI,A11SMI,A11SWI,A11SFI,30216,10094,2554,17568,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-11,A,11S,2001-11,A11STI,A11SMI,A11SWI,A11SFI,30498,10153,2549,17796,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2001-12,A,11S,2001-12,A11STI,A11SMI,A11SWI,A11SFI,30186,9905,2432,17849,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-01,A,11S,2002-01,A11STI,A11SMI,A11SWI,A11SFI,30580,10044,2461,18075,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-02,A,11S,2002-02,A11STI,A11SMI,A11SWI,A11SFI,30445,10021,2492,17932,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-03,A,11S,2002-03,A11STI,A11SMI,A11SWI,A11SFI,30272,9945,2387,17940,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-04,A,11S,2002-04,A11STI,A11SMI,A11SWI,A11SFI,30626,9895,2372,18359,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-05,A,11S,2002-05,A11STI,A11SMI,A11SWI,A11SFI,30497,10027,2366,18104,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-06,A,11S,2002-06,A11STI,A11SMI,A11SWI,A11SFI,30870,10181,2447,18242,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-07,A,11S,2002-07,A11STI,A11SMI,A11SWI,A11SFI,31040,10403,2512,18125,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-08,A,11S,2002-08,A11STI,A11SMI,A11SWI,A11SFI,31328,10654,2517,18157,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-09,A,11S,2002-09,A11STI,A11SMI,A11SWI,A11SFI,31402,10441,2442,18519,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-10,A,11S,2002-10,A11STI,A11SMI,A11SWI,A11SFI,31330,10195,2476,18659,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-11,A,11S,2002-11,A11STI,A11SMI,A11SWI,A11SFI,31291,10125,2463,18703,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2002-12,A,11S,2002-12,A11STI,A11SMI,A11SWI,A11SFI,31379,10294,2505,18580,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-01,A,11S,2003-01,A11STI,A11SMI,A11SWI,A11SFI,31434,10375,2458,18601,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-02,A,11S,2003-02,A11STI,A11SMI,A11SWI,A11SFI,31686,10444,2626,18616,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-03,A,11S,2003-03,A11STI,A11SMI,A11SWI,A11SFI,31943,10670,2696,18577,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-04,A,11S,2003-04,A11STI,A11SMI,A11SWI,A11SFI,31603,10630,2703,18270,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-05,A,11S,2003-05,A11STI,A11SMI,A11SWI,A11SFI,31927,10882,2678,18367,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-06,A,11S,2003-06,A11STI,A11SMI,A11SWI,A11SFI,31756,10903,2674,18179,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-07,A,11S,2003-07,A11STI,A11SMI,A11SWI,A11SFI,31568,10694,2721,18153,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-08,A,11S,2003-08,A11STI,A11SMI,A11SWI,A11SFI,31654,10880,2671,18103,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-09,A,11S,2003-09,A11STI,A11SMI,A11SWI,A11SFI,31621,10774,2690,18157,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-10,A,11S,2003-10,A11STI,A11SMI,A11SWI,A11SFI,31830,11004,2538,18288,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-11,A,11S,2003-11,A11STI,A11SMI,A11SWI,A11SFI,32009,11516,2475,18018,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2003-12,A,11S,2003-12,A11STI,A11SMI,A11SWI,A11SFI,31485,11059,2454,17972,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-01,A,11S,2004-01,A11STI,A11SMI,A11SWI,A11SFI,31518,11139,2461,17918,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-02,A,11S,2004-02,A11STI,A11SMI,A11SWI,A11SFI,31600,11356,2388,17856,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-03,A,11S,2004-03,A11STI,A11SMI,A11SWI,A11SFI,31810,11358,2409,18043,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-04,A,11S,2004-04,A11STI,A11SMI,A11SWI,A11SFI,31669,11115,2475,18079,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-05,A,11S,2004-05,A11STI,A11SMI,A11SWI,A11SFI,32025,11188,2559,18278,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-06,A,11S,2004-06,A11STI,A11SMI,A11SWI,A11SFI,32175,11074,2548,18553,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-07,A,11S,2004-07,A11STI,A11SMI,A11SWI,A11SFI,32203,10992,2546,18665,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-08,A,11S,2004-08,A11STI,A11SMI,A11SWI,A11SFI,32111,10954,2567,18590,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-09,A,11S,2004-09,A11STI,A11SMI,A11SWI,A11SFI,32018,11076,2552,18390,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-10,A,11S,2004-10,A11STI,A11SMI,A11SWI,A11SFI,31969,11196,2521,18252,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-11,A,11S,2004-11,A11STI,A11SMI,A11SWI,A11SFI,31815,11168,2455,18192,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2004-12,A,11S,2004-12,A11STI,A11SMI,A11SWI,A11SFI,32154,11241,2647,18266,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-01,A,11S,2005-01,A11STI,A11SMI,A11SWI,A11SFI,32009,11136,2384,18489,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-02,A,11S,2005-02,A11STI,A11SMI,A11SWI,A11SFI,32295,11161,2600,18534,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-03,A,11S,2005-03,A11STI,A11SMI,A11SWI,A11SFI,32516,11293,2647,18576,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-04,A,11S,2005-04,A11STI,A11SMI,A11SWI,A11SFI,32995,11448,2685,18862,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-05,A,11S,2005-05,A11STI,A11SMI,A11SWI,A11SFI,32792,11577,2617,18598,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-06,A,11S,2005-06,A11STI,A11SMI,A11SWI,A11SFI,32696,11658,2481,18557,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-07,A,11S,2005-07,A11STI,A11SMI,A11SWI,A11SFI,32830,11801,2419,18610,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-08,A,11S,2005-08,A11STI,A11SMI,A11SWI,A11SFI,32848,11769,2448,18631,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-09,A,11S,2005-09,A11STI,A11SMI,A11SWI,A11SFI,33104,11880,2486,18738,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-10,A,11S,2005-10,A11STI,A11SMI,A11SWI,A11SFI,33126,12044,2615,18467,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-11,A,11S,2005-11,A11STI,A11SMI,A11SWI,A11SFI,33212,11744,2679,18789,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2005-12,A,11S,2005-12,A11STI,A11SMI,A11SWI,A11SFI,33276,11789,2674,18813,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-01,A,11S,2006-01,A11STI,A11SMI,A11SWI,A11SFI,34016,11979,2677,19360,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-02,A,11S,2006-02,A11STI,A11SMI,A11SWI,A11SFI,34054,11969,2629,19456,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-03,A,11S,2006-03,A11STI,A11SMI,A11SWI,A11SFI,33987,11922,2596,19469,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-04,A,11S,2006-04,A11STI,A11SMI,A11SWI,A11SFI,33878,11964,2559,19355,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-05,A,11S,2006-05,A11STI,A11SMI,A11SWI,A11SFI,33900,11942,2594,19364,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-06,A,11S,2006-06,A11STI,A11SMI,A11SWI,A11SFI,34177,12064,2766,19347,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-07,A,11S,2006-07,A11STI,A11SMI,A11SWI,A11SFI,34125,12156,2826,19143,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-08,A,11S,2006-08,A11STI,A11SMI,A11SWI,A11SFI,34407,12424,2861,19122,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-09,A,11S,2006-09,A11STI,A11SMI,A11SWI,A11SFI,34729,12526,2820,19383,0,PASS_EXACT_SOURCE_IDENTITY
A11S_2006-10,A,11S,2006-10,A11STI,A11SMI,A11SWI,A11SFI,35493,12448,3280,19765,0,PASS_EXACT_SOURCE_IDENTITY
